"","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","fingerprint","algorithm","picture","conclusion","typos"
"43","No","3.0","2.0",30,30,"9mm","Moderately credible","Extremely credible","Extremely unreliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658267246.03155,8,"16279268d5423713dfcc9d692157d912","Yes","No","Inconclusive","Uncorrected"
"44","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658267379.3967,9,"1e9ed5b625e61f104fe7c3453a8470c2","Yes","No","NoMatch","Uncorrected"
"45","No","1 <br/> Not at all strong","2.0",30,31,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658268211.54283,11,"5c0c3c4e6589cdeb71d64c5aa829ebea","Yes","Yes","Inconclusive","Uncorrected"
"46","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,1,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658270078.15822,9,"6ebd2cc8c1b832fb5c820ebef935d42e","Yes","No","NoMatch","Uncorrected"
"47","No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658321020.31833,12,"aa9533aa8f5098473e0afb8c49b06509","Yes","Yes","NoMatch","Uncorrected"
"48","No","4.0","4.0",43,47,"9mm","Weakly credible","Moderately credible","Weakly unreliable","Weakly unreliable","Moderately reliable","Moderately scientific","Weakly scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658322349.88703,8,"8f285a765da682ab2f140354cd2ee221","Yes","No","Inconclusive","Uncorrected"
"49","Yes","9 <br/> Extremely strong","8.0",97,99,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Weakly unscientific","Weakly scientific","Extremely scientific","4.0","4.0","Sometimes","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658322470.50701,8,"630bd2fef3ca60ce9a0ddc246e5dedf6","Yes","No","Inconclusive","Uncorrected"
"50","No","1 <br/> Not at all strong","4.0",30,30,"9mm","Weakly noncredible","Weakly noncredible","Neither reliable nor unreliable","Weakly reliable","Weakly reliable","Neither scientific nor unscientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Weakly unreliable","Moderately reliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658322811.93384,12,"7f89390aa4c9b0e4d676bb5ff5c313e3","Yes","Yes","NoMatch","Uncorrected"
"51","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658322964.48803,12,"917cacf464ee4dae7a33deee5e6b5ff9","Yes","Yes","NoMatch","Uncorrected"
"52","Yes","8.0","9 <br/> Extremely strong",90,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323190.47175,10,"14f85b5b548e17aa84e960e9b6c766a4","Yes","Yes","Match","Uncorrected"
"53","No","3.0","1 <br/> Not at all strong",18,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323291.44658,12,"b20aa732e06842e56bd3f3b4173dc436","Yes","Yes","NoMatch","Uncorrected"
"55","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,15,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Moderately scientific","Moderately scientific","4.0","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658323875.95952,12,"48189a737e867783cab222628c003a05","Yes","Yes","NoMatch","Uncorrected"
"56","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Moderately unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658323945.81042,12,"7b5a14bb609409751213806770099c6a","Yes","Yes","NoMatch","Uncorrected"
"57","Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",100,100,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658324165.55114,12,"9bef2a9ba0a8847b1d854041b5657ced","Yes","Yes","NoMatch","Uncorrected"
"58","No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325159.44298,12,"c9a722545db3546ea40b13dc0b9c4254","Yes","Yes","NoMatch","Uncorrected"
"59","No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325464.03602,12,"08b825057bf29036830ebce974675527","Yes","Yes","NoMatch","Uncorrected"
"60","No","2.0","2.0",20,12,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658325664.67415,11,"aacdcb7f0e97d7132a512b10b64e5631","Yes","Yes","Inconclusive","Uncorrected"
"61","Yes","8.0","8.0",96,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325693.49944,10,"d10db9594b64970464d5f0c856c8d788","Yes","Yes","Match","Uncorrected"
"62","No","5 <br/> Moderately strong","7.0",57,70,"9mm","Moderately credible","Extremely credible","Moderately reliable","Neither reliable nor unreliable","Moderately unreliable","Neither scientific nor unscientific","Extremely scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658326503.95546,10,"53f86fe6dc83ffabcde647d2a14eae02","Yes","Yes","Match","Uncorrected"
"63","No","2.0","3.0",14,13,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Weakly scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658326577.44292,11,"21df59a6368ccfa6232cf443f265413d","Yes","Yes","Inconclusive","Uncorrected"
"64","No","4.0","5 <br/> Moderately strong",38,50,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658326835.19371,8,"558754dc05a21bdc90830343e8ed5967","Yes","No","Inconclusive","Uncorrected"
"65","No","4.0","5 <br/> Moderately strong",60,60,"9mm","Extremely credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658327273.83872,7,"036bbda3348a536b1c74c79455cb61b8","Yes","No","Match","Uncorrected"
"66","No","3.0","4.0",30,40,"9mm","Moderately credible","Moderately credible","Weakly reliable","Weakly reliable","Weakly reliable","Weakly scientific","Weakly scientific","Weakly scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658327454.83616,7,"bca200d69a398bfccbadb23e71b3efe1","Yes","No","Match","Uncorrected"
"67","Yes","8.0","9 <br/> Extremely strong",97,100,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658327476.43127,10,"e83f2b25d7604ac28a28219ab10ccbd3","Yes","Yes","Match","Uncorrected"
