"","race","gender","age","income","gunown","guncomfort","time.x","conclusion.x","random_number","actual_time1","educ","vote","poli","arrest","state","jury","jurycrim","time.y","conclusion.y","actual_time2","guilty","strength","prob_hide","check","guilt_free_num","guilt_free_denom","innocent_free_num","innocent_free_denom","prob_vis","guilt_bet","innocent_bet","fixed_like","time.x.x","conclusion.x.x","page_count","opinion_guilt","open_info","actual_time3","order","time.y.y","conclusion.y.y","clean_prints","clean_id"
"11","Asian","Male","18 - 25","$50,000 - $59,999","Yes","Slightly Comfortable",1684440110.80025,"NoMatch",0.825845403363928,"2023-05-18 15:01:50","4 year degree","Republican","Somewhat Conservative","No","KY","Yes","Yes",1684440143.00002,"NoMatch","2023-05-18 15:02:23","No","4",50,"9mm",1,2,NA,NA,50,NA,25,"1 chance in 2 (fifty-fifty chance)",1684440441.60513,"NoMatch",24,"No","I'm not sure if he's guilty or not, there isn't enough evidence to suggest this based on the bullet and the gun in his possession.","2023-05-18 15:07:21",3715264,1684440110.80708,"NoMatch",216,260
"12","Asian","Male","26 - 35","$80,000 - $89,999","No","Neither Comfortable nor Uncomfortable",1684441343.95361,"Match",0.125460781157017,"2023-05-18 15:22:23","2 year degree","No consistent preference","Middle of the Road","No","NJ","No","N/A",1684441379.9851,"Match","2023-05-18 15:22:59","No","2",5,"9mm",1,1e+07,NA,NA,5,NA,50,"Impossible that he is guilty",1684442782.79135,"Match",24,"No","I think the defendant is not guilty ","2023-05-18 15:46:22",5374162,1684441343.96309,"Match",233,225
"13","White","Male","26 - 35","$20,000 - $29,999","No","Slightly Comfortable",1684441418.94199,"NoMatch",0.535370636964217,"2023-05-18 15:23:38","Some college","Republican","Middle of the Road","Yes","AZ","No","N/A",1684441429.97332,"NoMatch","2023-05-18 15:23:49","Yes","9 <br/> Extremely strong",4,"9mm",2,100,NA,NA,2,NA,50,"About 1 chance in 10,000",1684442126.11759,"NoMatch",24,"No","Not guilty, The bullets dont match","2023-05-18 15:35:26",1534267,1684441418.94971,"NoMatch",233,79
"14","White","Male","18 - 25","$40,000 - $49,999","No","Moderately Comfortable",1684443204.07881,"NoMatch",0.610215478343889,"2023-05-18 15:53:24","Less than high school","No consistent preference","Middle of the Road","No","CA","No","N/A",1684443241.84278,"NoMatch","2023-05-18 15:54:01","No","1 <br/> Not at all strong",0,"9mm",1,1e+05,NA,NA,0,NA,30,"Impossible that he is guilty",1684444817.21991,"NoMatch",24,"No","He's innocent and that there was no real cause for the vehicle search and arrest","2023-05-18 16:20:17",5213674,1684443204.0878,"NoMatch",156,122
"15","White","Male","26 - 35","Less than $10,000","No","Extremely Uncomfortable",1684443214.00207,"NoMatch",0.155058892443776,"2023-05-18 15:53:34","Doctorate","Democratic","Very Liberal","No","FL","No","N/A",1684443229.20507,"NoMatch","2023-05-18 15:53:49","No","1 <br/> Not at all strong",25,"9mm",1,100,NA,NA,25,NA,30,"About 1 chance in 100",1684443749.05772,"NoMatch",24,"No","He is possibly not guilty due to the examiner noting the guns were different. ","2023-05-18 16:02:29",6357124,1684443214.00862,"NoMatch",233,107
"16","White","Female","26 - 35","Less than $10,000","No","Neither Comfortable nor Uncomfortable",1685739056.02526,"Match",0.0240430852863938,"2023-06-02 15:50:56","Professional degree","No consistent preference","Somewhat Conservative","No","CA","No","N/A",1685739092.18539,"Match","2023-06-02 15:51:32","Yes","6",58,"9mm",1,1,NA,NA,62,NA,10,"About 1 chance in 10",1685739364.94483,"Match",24,"No","he was a innocent","2023-06-02 15:56:04",6453127,1685739056.0322,"Match",20,145
"17","White","Male","18 - 25","$40,000 - $49,999","No","Extremely Uncomfortable",1685740001.12933,"NoMatch",0.171450397931039,"2023-06-02 16:06:41","4 year degree","Democratic","Somewhat Conservative","No","DE","No","N/A",1685740019.31078,"NoMatch","2023-06-02 16:06:59","Yes","9 <br/> Extremely strong",100,"22mm",NA,NA,1,1,100,50,NA,"Certain to be guilty",1685740648.64754,"NoMatch",24,"Yes","The defendant seems to have committed the crime, and that is based on the testimony of the firearms officer who has proven to be very knowledgeable.","2023-06-02 16:17:28",2673415,1685740001.14523,"NoMatch",120,204
"18","Asian","Male","18 - 25","$60,000 - $69,999","No","Moderately Comfortable",1685740039.23592,"Match",0.550651719560847,"2023-06-02 16:07:19","High school graduate","Democratic","Somewhat Liberal","No","NY","No","N/A",1685740065.08502,"Match","2023-06-02 16:07:45","No","3",22,"9mm",1,4,NA,NA,25,NA,15,"About 1 chance in 10",1685740977.38089,"Match",24,"No","I think there is not sufficient evidence to conclude that the defendant is guilty. The store clerk was not able to see the robber's face. The defendant's gun was confiscated for being the same caliber as the bullet used in the crime scene, however, there are many 9mm handguns. Also, since he is a licensed gun owner, I feel there could be more evidence extracted from the gun's purchase and the information and history regarding it. Smith's evaluation as a gun inspector was convincing, however, even if they are a expert in the field, I feel it is important to have multiple sources of evaluation to avoid any human errors and improve accuracy.","2023-06-02 16:22:57",4267513,1685740039.24805,"Match",36,251
"19","White","Male","18 - 25","$50,000 - $59,999","No","Slightly Comfortable",1685740188.88688,"NoMatch",0.179589078295976,"2023-06-02 16:09:48","4 year degree","No consistent preference","Somewhat Liberal","No","CA","No","N/A",1685740268.84085,"NoMatch","2023-06-02 16:11:08","No","2",2,"9mm",1,100,NA,NA,3,NA,40,"About 1 chance in 100",1685741919.27243,"NoMatch",24,"No","I think that the defendant is innocent. ","2023-06-02 16:38:39",2764351,1685740188.89899,"NoMatch",207,83
"20","White","Male","18 - 25","$30,000 - $39,999","Yes","Extremely Comfortable",1685741405.3937,"NoMatch",0.543981119990349,"2023-06-02 16:30:05","Some college","Republican","Very Conservative","No","PA","No","N/A",1685741433.75688,"NoMatch","2023-06-02 16:30:33","No","7",13,"9mm",1,1000,NA,NA,30,NA,50,"About 1 chance in 10,000",1685741915.95923,"NoMatch",24,"No","THE DEFENDANT IS INNOCENT DUE TO THE FACT THAT HE WAS PULLED OVER DUE TO SPEEDING AND JUST HAPPENED TO HAVE A 9M","2023-06-02 16:38:35",4367512,1685741405.40397,"NoMatch",40,267
"21","White","Female","26 - 35","$70,000 - $79,999","No","Moderately Comfortable",1685741480.86871,"NoMatch",0.386217400198802,"2023-06-02 16:31:20","Professional degree","Democratic","Very Liberal","No","CA","No","N/A",1685741500.58588,"NoMatch","2023-06-02 16:31:40","No","4",18,"9mm",1,10,NA,NA,30,NA,10,"About 1 chance in 10",1685742147.73361,"NoMatch",24,"No","I think there's a chance is being wrongly accused.","2023-06-02 16:42:27",6172453,1685741480.88054,"NoMatch",59,168
"22","White","Male","18 - 25","$100,000 - $149,999","No","Slightly Comfortable",1685742333.9649,"NoMatch",0.344219064107165,"2023-06-02 16:45:33","Some college","No consistent preference","Middle of the Road","No","TN","No","N/A",1685742354.65159,"NoMatch","2023-06-02 16:45:54","No","4",8,"9mm",1,780,NA,NA,6,NA,50,"Impossible that he is guilty",1685742818.43271,"NoMatch",24,"No","He did not shoot his gun at the convenience store","2023-06-02 16:53:38",4137625,1685742333.97607,"NoMatch",180,100
"23","Hispanic","Male","18 - 25","$30,000 - $39,999","No","Moderately Comfortable",1685742351.13441,"NoMatch",0.415575645165518,"2023-06-02 16:45:51","High school graduate","Democratic","Somewhat Conservative","No","FL","No","N/A",1685742373.88651,"NoMatch","2023-06-02 16:46:13","No","3",2,"9mm",1,9000,NA,NA,3,NA,50,"About 1 chance in 10,000",1685743195.58415,"NoMatch",24,"No","Not guilty, didn't fire from his gun","2023-06-02 16:59:55",1745362,1685742351.14564,"NoMatch",84,258
"24","White, Hispanic","Male","18 - 25","$40,000 - $49,999","No","Moderately Comfortable",1685742621.98678,"NoMatch",0.422904343809932,"2023-06-02 16:50:21","High school graduate","Republican","Somewhat Conservative","No","IL","No","N/A",1685742639.58608,"NoMatch","2023-06-02 16:50:39","No","1 <br/> Not at all strong",1,"9mm",1,1e+05,NA,NA,1,NA,50,"About 1 chance in 10,000",1685743722.8064,"NoMatch",24,"No","I think he's likely to be an unlucky, innocent man caught up in another's crimes.","2023-06-02 17:08:42",3627451,1685742621.99324,"NoMatch",233,196
"25","White","Male","18 - 25","$100,000 - $149,999","No","Moderately Comfortable",1685743253.42236,"NoMatch",0.649726941483095,"2023-06-02 17:00:53","2 year degree","No consistent preference","Middle of the Road","No","NC","No","N/A",1685743273.0109,"NoMatch","2023-06-02 17:01:13","No","3",12,"9mm",1,100,NA,NA,13,NA,50,"About 1 chance in 100",1685743688.66541,"NoMatch",24,"No","That the gun they have was not used in the robbery.","2023-06-02 17:08:08",2764153,1685743253.42852,"NoMatch",215,91
"26","White","Male","18 - 25","$100,000 - $149,999","No","Slightly Comfortable",1685743481.38198,"NoMatch",0.052355965366587,"2023-06-02 17:04:41","Some college","No consistent preference","Middle of the Road","No","IL","No","N/A",1685743494.7439,"NoMatch","2023-06-02 17:04:54","No","5 <br/> Moderately strong",48,"9mm",1.2,100,NA,NA,29,NA,25,"About 1 chance in 100",1685743772.08652,"NoMatch",24,"No","He did not fire the bullet","2023-06-02 17:09:32",5243167,1685743481.38823,"NoMatch",58,93
"27","White","Male","26 - 35","$20,000 - $29,999","No","Moderately Uncomfortable",1685744076.60269,"Match",0.396484120748937,"2023-06-02 17:14:36","Some college","No consistent preference","Middle of the Road","Yes","MN","No","N/A",1685744097.43963,"Match","2023-06-02 17:14:57","No","7",79,"9mm",NA,NA,1,4,75,50,NA,"About 9 chances in 10",1685744668.94755,"Match",24,"Yes","I think that so far into this trial, the signs are pointing to the defendant being guilty, but there still needs to be more evidence. Nothing 100% confirms that Richard Cole shot the gun yet.","2023-06-02 17:24:28",3462715,1685744076.61715,"Match",233,99
"28","Black or African American","Male","46 - 55","$60,000 - $69,999","No","Slightly Comfortable",1685744078.38878,"Match",0.0945489341393113,"2023-06-02 17:14:38","High school graduate","Democratic","Very Liberal","Yes","VA","Yes","Yes",1685744095.77072,"Match","2023-06-02 17:14:55","No","2",75,"9mm",1,2,NA,NA,75,NA,50,"1 chance in 2 (fifty-fifty chance)",1685744586.13737,"Match",24,"No","Inconclusive. He may or may not have shot the gun in the store. Does he have an alabai that checks out for the time the shooting occurred?","2023-06-02 17:23:06",6243715,1685744078.4006,"Match",34,256
"29","White","Male","18 - 25","$40,000 - $49,999","No","Slightly Comfortable",1685744079.62036,"NoMatch",0.109059728914872,"2023-06-02 17:14:39","High school graduate","No consistent preference","Middle of the Road","Yes","NC","No","N/A",1685744107.01511,"NoMatch","2023-06-02 17:15:07","No","1 <br/> Not at all strong",0,"9mm",1,1e+06,NA,NA,0,NA,50,"About 1 chance in 10,000",1685745194.84263,"NoMatch",24,"No","I don't think he was the one who shot the bullets in the ceiling.","2023-06-02 17:33:14",3145762,1685744079.63169,"NoMatch",140,214
"30","White","Male","18 - 25","$10,000 - $19,999","No","Moderately Uncomfortable",1685744436.45431,"NoMatch",0.932253914885223,"2023-06-02 17:20:36","2 year degree","Democratic","Very Liberal","No","NV","No","N/A",1685744455.28678,"NoMatch","2023-06-02 17:20:55","No","4",55,"9mm",NA,NA,4,10,60,15,NA,"1 chance in 2 (fifty-fifty chance)",1685745057.10374,"NoMatch",24,"Yes","I feel like there isn't enough evidence to charge him. He was pulled over and had his gun confiscated because it was the same calibre as the one used in the crime scene, which doesn't really connect the two together. His face also wasn't seen because of his mask, so that adds more 'mystery' to the case.","2023-06-02 17:30:57",6357241,1685744436.46573,"NoMatch",178,58
"31","Black or African American, American Indian or Alaska Native","Male","36 - 45","Less than $10,000","No","Extremely Comfortable",1685745588.741,"Match",0.889224498067051,"2023-06-02 17:39:48","Some college","No consistent preference","Middle of the Road","Yes","LA","No","No",1685745653.4177,"Match","2023-06-02 17:40:53","No","4",50,"9mm",1.5,2,NA,NA,50,NA,0,"1 chance in 2 (fifty-fifty chance)",1685746770.62041,"Match",24,"No","I believe his gun fired that bullet but still not sure if he the one who fired the gun","2023-06-02 17:59:30",1354276,1685745588.75294,"Match",214,205
"32","White","Female","46 - 55","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1685746040.86458,"NoMatch",0.468930379720405,"2023-06-02 17:47:20","Professional degree","Democratic","Very Liberal","No","MN","No","N/A",1685746058.90654,"NoMatch","2023-06-02 17:47:38","No","3",8,"9mm",1,90,NA,NA,10,NA,45,"About 1 chance in 100",1685746848.11412,"NoMatch",24,"No","I think that the gun he had in his car did not fire the bullet found in the store. ","2023-06-02 18:00:48",6472531,1685746040.87128,"NoMatch",55,228
"33","Asian","Male","26 - 35","$50,000 - $59,999","No","Slightly Comfortable",1685747312.05814,"NoMatch",0.840119500411674,"2023-06-02 18:08:32","Some college","Democratic","Somewhat Liberal","No","UT","No","N/A",1685747328.86619,"NoMatch","2023-06-02 18:08:48","No","1 <br/> Not at all strong",1,"9mm",1,93,NA,NA,2,NA,50,"About 1 chance in 1,000",1685747770.89078,"NoMatch",24,"No","not guilty","2023-06-02 18:16:10",7251436,1685747312.06797,"NoMatch",233,194
"34","White","Male","56 - 65","$60,000 - $69,999","Yes","Slightly Comfortable",1685747329.3243,"NoMatch",0.59825504780747,"2023-06-02 18:08:49","4 year degree","No consistent preference","Middle of the Road","No","IL","No","N/A",1685747355.43622,"NoMatch","2023-06-02 18:09:15","No","1 <br/> Not at all strong",0,"9mm",1,10000,NA,NA,1,NA,50,"About 1 chance in 10,000",1685747842.45283,"NoMatch",24,"No","He is innocent","2023-06-02 18:17:22",7361452,1685747329.33653,"NoMatch",132,183
"35","White","Male","46 - 55","More than $150,000","No","Neither Comfortable nor Uncomfortable",1685748378.6142,"Match",0.413914578035474,"2023-06-02 18:26:18","4 year degree","Republican","Middle of the Road","Yes","AL","No","N/A",1685748406.64635,"Match","2023-06-02 18:26:46","Yes","8",98,"9mm",NA,NA,1,1000,99,50,NA,"About 999 chances in 1,000",1685749181.73111,"Match",24,"Yes","I think there is a very good likelihood that he is guilty of the charges based on what I've learned so far. ","2023-06-02 18:39:41",3175426,1685748378.62666,"Match",176,247
"36","White","Female","Over 65","$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1685752298.36263,"Match",0.280012042727321,"2023-06-02 19:31:38","High school graduate","Republican","Somewhat Conservative","No","NM","No","N/A",1685752329.87809,"Match","2023-06-02 19:32:09","Yes","9 <br/> Extremely strong",100,"9mm",NA,NA,1,9999,99,50,NA,"About 9,999 chances in 10,000",1685752805.78171,"Match",24,"Yes","I think it was his gun","2023-06-02 19:40:05",3724615,1685752298.37444,"Match",38,3
"37","White","Male","46 - 55","$70,000 - $79,999","Yes","Slightly Comfortable",1685753352.35908,"Match",0.556181726744398,"2023-06-02 19:49:12","4 year degree","Republican","Somewhat Conservative","No","FL","No","N/A",1685753381.05094,"Match","2023-06-02 19:49:41","Yes","8",95,"9mm",NA,NA,1,100,95,45,NA,"About 99 chances in 100",1685754148.49091,"Match",24,"Yes","I would have to say given the evidence he's guilty.","2023-06-02 20:02:28",2614753,1685753352.36528,"Match",233,73
"38","Asian","Female","18 - 25","$90,000 - $99,999","No","Slightly Uncomfortable",1685753404.06565,"NoMatch",0.0871788798831403,"2023-06-02 19:50:04","Professional degree","Democratic","Very Liberal","No","NY","No","N/A",1685753422.66065,"NoMatch","2023-06-02 19:50:22","No","1 <br/> Not at all strong",12,"9mm",1,15,NA,NA,15,NA,50,"About 1 chance in 100",1685753831.76323,"NoMatch",24,"No","Possibly not guilty.","2023-06-02 19:57:11",6275431,1685753404.07178,"NoMatch",233,103
"39","White","Other/non-binary","18 - 25","$20,000 - $29,999","Yes","Moderately Comfortable",1685754147.07962,"Match",0.353184428997338,"2023-06-02 20:02:27","Some college","Democratic","Very Liberal","No","KY","No","N/A",1685754183.65632,"Match","2023-06-02 20:03:03","No","8",50,"9mm",NA,NA,1,2,60,20,NA,"1 chance in 2 (fifty-fifty chance)",1685755079.86601,"Match",24,"Yes","I think it is 99% certain that either the defendant or someone who had access to the defendant's firearm attempted to rob the convenience store.","2023-06-02 20:17:59",4127536,1685754147.09096,"Match",159,121
"40","White","Female","26 - 35","$60,000 - $69,999","No","Slightly Uncomfortable",1685754306.99816,"NoMatch",0.703213274478912,"2023-06-02 20:05:06","Professional degree","Democratic","Very Liberal","Yes","TX","No","N/A",1685754334.91601,"NoMatch","2023-06-02 20:05:34","No","1 <br/> Not at all strong",1,"9mm",1,100,NA,NA,2,NA,50,"About 1 chance in 100",1685754854.76633,"NoMatch",24,"No","I think it is unlikely that his confiscated gun fired the bullet in the incident in question. ","2023-06-02 20:14:14",3574216,1685754307.00549,"NoMatch",126,165
"41","Black or African American","Male","18 - 25","$50,000 - $59,999","No","Moderately Comfortable",1685755911.42076,"NoMatch",0.826898902654648,"2023-06-02 20:31:51","Some college","Republican","Somewhat Conservative","Yes","FL","No","No",1685755939.33904,"NoMatch","2023-06-02 20:32:19","No","3",8,"9mm",1,1000,NA,NA,12,NA,48,"About 1 chance in 100",1685756731.64903,"NoMatch",24,"No","I think that Richard Cole is innocent given the evidence by Terry Smith.","2023-06-02 20:45:31",7531264,1685755911.43548,"NoMatch",224,111
"42","Asian","Male","18 - 25","$20,000 - $29,999","No","Moderately Uncomfortable",1685756960.52617,"NoMatch",0.349460349883884,"2023-06-02 20:49:20","Professional degree","No consistent preference","Middle of the Road","No","TX","No","N/A",1685756976.14047,"NoMatch","2023-06-02 20:49:36","No","1 <br/> Not at all strong",0,"9mm",1,1e+12,NA,NA,0,NA,50,"Impossible that he is guilty",1685757225.0407,"NoMatch",24,"No","Not Guity","2023-06-02 20:53:45",3546721,1685756960.5351,"NoMatch",233,209
"43","White, American Indian or Alaska Native","Male","56 - 65","$70,000 - $79,999","No","Neither Comfortable nor Uncomfortable",1685757557.7529,"NoMatch",0.804986162343994,"2023-06-02 20:59:17","Professional degree","Republican","Somewhat Conservative","No","VA","Yes","Yes",1685757602.09375,"NoMatch","2023-06-02 21:00:02","No","1 <br/> Not at all strong",4,"9mm",2,100,NA,NA,2,NA,50,"Impossible that he is guilty",1685758676.47644,"NoMatch",24,"No","I think he is not guilty.","2023-06-02 21:17:56",1354672,1685757557.7632,"NoMatch",21,94
"44","White","Female","18 - 25","$100,000 - $149,999","No","Moderately Uncomfortable",1685758781.74869,"Match",0.133712974376976,"2023-06-02 21:19:41","4 year degree","No consistent preference","Somewhat Liberal","No","CA","No","N/A",1685758803.22143,"Match","2023-06-02 21:20:03","Yes","5 <br/> Moderately strong",68,"9mm",NA,NA,1,2000,71,30,NA,"About 999 chances in 1,000",1685759214.75495,"Match",24,"Yes","I think he is guilty","2023-06-02 21:26:54",2735416,1685758781.75474,"Match",5,170
"45","White","Female","26 - 35","Less than $10,000","No","Moderately Comfortable",1685759429.66852,"Match",0.785955150146037,"2023-06-02 21:30:29","High school graduate","No consistent preference","Middle of the Road","Yes","IA","No","N/A",1685759454.09583,"Match","2023-06-02 21:30:54","No","6",60,"9mm",NA,NA,1,10,71,30,NA,"1 chance in 2 (fifty-fifty chance)",1685760220.65031,"Match",24,"Yes","I'm not sure yet. I haven't heard enough to answer that. I do believe that the bullet was shot from his gun, but maybe someone else had his gun for some reason.","2023-06-02 21:43:40",5216473,1685759429.68065,"Match",233,51
"46","Black or African American","Female","56 - 65","$100,000 - $149,999","No","Neither Comfortable nor Uncomfortable",1685759539.06614,"NoMatch",0.597935645375401,"2023-06-02 21:32:19","High school graduate","Democratic","Somewhat Liberal","No","NY","Yes","No",1685759569.87543,"NoMatch","2023-06-02 21:32:49","No","5 <br/> Moderately strong",3,"9mm",1,100,NA,NA,3,NA,40,"About 1 chance in 100",1685761310.22244,"NoMatch",24,"No","He's unlucky and has bad timing. I think he's innocent","2023-06-02 22:01:50",3457621,1685759539.07241,"NoMatch",97,272
"47","White","Male","36 - 45","$50,000 - $59,999","No","Slightly Uncomfortable",1685760774.779,"NoMatch",0.675153852207586,"2023-06-02 21:52:54","Professional degree","Democratic","Very Liberal","No","CT","No","N/A",1685760789.62915,"NoMatch","2023-06-02 21:53:09","No","1 <br/> Not at all strong",1,"9mm",2.5,100,NA,NA,2,NA,50,"About 1 chance in 100",1685761266.87966,"NoMatch",24,"No","I believe that the defendant is innocent. At the very least, due to the science behind bullet markings, they cannot be proven guilty with any reasonable doubt.","2023-06-02 22:01:06",5362471,1685760774.78509,"NoMatch",227,89
"48","White","Female","26 - 35","$80,000 - $89,999","No","Extremely Uncomfortable",1685761689.41152,"NoMatch",0.910949752666056,"2023-06-02 22:08:09","Professional degree","Democratic","Very Liberal","No","NY","No","N/A",1685761707.13634,"NoMatch","2023-06-02 22:08:27","No","1 <br/> Not at all strong",4,"9mm",1,1e+05,NA,NA,4,NA,30,"About 1 chance in 10,000",1685762682.85009,"NoMatch",24,"No","not guilty","2023-06-02 22:24:42",7531426,1685761689.42132,"NoMatch",197,29
"49","White","Male","46 - 55","$30,000 - $39,999","No","Moderately Uncomfortable",1685793962.74577,"NoMatch",0.976868161698803,"2023-06-03 07:06:02","4 year degree","Democratic","Somewhat Liberal","No","MA","No","N/A",1685794038.30902,"NoMatch","2023-06-03 07:07:18","No","1 <br/> Not at all strong",22,"9mm",3,10,NA,NA,30,NA,40,"1 chance in 2 (fifty-fifty chance)",1685795244.59245,"NoMatch",24,"No","There doesn't seem to be enough evidence to link his gun to the one used in the robbery attempt. He shouldn't be considered guilty on this basis.","2023-06-03 07:27:24",5217634,1685793962.7617,"NoMatch",233,45
"50","White","Female","26 - 35","$50,000 - $59,999","No","Extremely Uncomfortable",1685793983.52724,"NoMatch",0.974925488000736,"2023-06-03 07:06:23","Professional degree","Democratic","Very Liberal","No","MN","No","N/A",1685794078.20166,"NoMatch","2023-06-03 07:07:58","No","1 <br/> Not at all strong",4,"9mm",1,100,NA,NA,1,NA,50,"About 1 chance in 100",1685794803.43475,"NoMatch",24,"No","I think the defendant is not guilty of shooting the gun in the convenience store","2023-06-03 07:20:03",2743516,1685793983.53932,"NoMatch",184,156
