"","...1","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","algorithm","picture","conclusion","typos","clean_prints"
"11",8,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658254588.1378,9,"Yes","No","NoMatch","Uncorrected",364
"12",9,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,0,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255218.7543,12,"Yes","Yes","NoMatch","Uncorrected",524
"13",10,"Yes","6.0","8.0",80,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658255691.99818,7,"Yes","No","Match","Uncorrected",358
"14",11,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,3,"9mm","Moderately credible","Moderately credible","Moderately reliable","Weakly reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658255753.27444,12,"Yes","Yes","NoMatch","Uncorrected",567
"15",12,"No","3.0","4.0",35,40,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658258785.79596,11,"Yes","Yes","Inconclusive","Uncorrected",33
"16",13,"No","3.0","4.0",56,29,"9mm","Extremely credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Moderately scientific","Weakly scientific","4.0","4.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658258925.95404,8,"Yes","No","Inconclusive","Uncorrected",43
"17",14,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658259731.78382,12,"Yes","Yes","NoMatch","Uncorrected",255
"18",15,"Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",96,97,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658260127.13999,7,"Yes","No","Match","Uncorrected",175
"19",16,"Yes","8.0","9 <br/> Extremely strong",90,95,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260143.18661,10,"Yes","Yes","Match","Uncorrected",601
"20",17,"Yes","8.0","9 <br/> Extremely strong",95,90,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658260172.86089,7,"Yes","No","Match","Uncorrected",56
"21",18,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260575.88466,9,"Yes","No","NoMatch","Uncorrected",89
"22",19,"No","4.0","4.0",38,40,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Neither reliable nor unreliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658260924.55288,11,"Yes","Yes","Inconclusive","Uncorrected",448
"23",20,"No","2.0","2.0",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658261436.45631,9,"Yes","No","NoMatch","Uncorrected",55
"24",21,"No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658261619.39255,12,"Yes","Yes","NoMatch","Uncorrected",517
"25",22,"No","4.0","8.0",50,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Weakly unreliable","Weakly scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658261744.08244,10,"Yes","Yes","Match","Uncorrected",514
"26",23,"No","4.0","3.0",35,32,"9mm","Weakly credible","Weakly credible","Weakly reliable","Weakly reliable","Weakly reliable","Weakly scientific","Weakly scientific","Weakly scientific","4.0","4.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658262127.15311,7,"Yes","No","Match","Uncorrected",159
"27",23,"No","4.0","3.0",35,32,"9mm","Weakly credible","Weakly credible","Weakly reliable","Weakly reliable","Weakly reliable","Weakly scientific","Weakly scientific","Weakly scientific","4.0","4.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658262127.15311,7,"Yes","No","Match","Uncorrected",159
"28",24,"No","2.0","2.0",30,50,"9mm","Moderately noncredible","Moderately credible","Moderately unreliable","Weakly unreliable","Moderately unreliable","Weakly unscientific","Neither scientific nor unscientific","Neither scientific nor unscientific","4.0","4.0","Occasionally","Weakly reliable","Moderately unreliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658262238.95566,8,"Yes","No","Inconclusive","Uncorrected",344
"29",25,"Yes","8.0","8.0",90,95,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658262409.42151,10,"Yes","Yes","Match","Uncorrected",605
"30",26,"No","4.0","2.0",30,20,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658263457.1286,12,"Yes","Yes","NoMatch","Uncorrected",391
"31",27,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,1,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264035.74079,9,"Yes","No","NoMatch","Uncorrected",212
"32",28,"No","3.0","2.0",20,10,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264281.41495,9,"Yes","No","NoMatch","Uncorrected",28
"33",29,"No","2.0","3.0",36,28,"9mm","Moderately credible","Extremely credible","Moderately unreliable","Moderately reliable","Weakly reliable","Extremely scientific","Weakly unscientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264334.18048,8,"Yes","No","Inconclusive","Uncorrected",258
"34",30,"No","5 <br/> Moderately strong","4.0",52,50,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Weakly unreliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658264615.08505,12,"Yes","Yes","NoMatch","Uncorrected",555
"35",31,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264633.9485,12,"Yes","Yes","NoMatch","Uncorrected",427
"36",32,"No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Neither scientific nor unscientific","Yes","Erroneously convicting an innocent person",1658264668.35031,9,"Yes","No","NoMatch","Uncorrected",208
"37",33,"Yes","7.0","8.0",89,86,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658265028.44824,7,"Yes","No","Match","Uncorrected",253
"38",34,"No","1 <br/> Not at all strong","2.0",16,20,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Neither reliable nor unreliable","Neither scientific nor unscientific","Moderately scientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","2.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658265047.05339,9,"Yes","No","NoMatch","Uncorrected",270
"39",35,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658265808.9964,9,"Yes","No","NoMatch","Uncorrected",595
"40",36,"No","8.0","9 <br/> Extremely strong",80,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658265861.36887,10,"Yes","Yes","Match","Uncorrected",426
"41",37,"No","1 <br/> Not at all strong","2.0",4,8,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658266134.20332,9,"Yes","No","NoMatch","Uncorrected",390
"42",38,"No","5 <br/> Moderately strong","5 <br/> Moderately strong",50,50,"9mm","Neither credible nor noncredible","Extremely credible","Neither reliable nor unreliable","Neither reliable nor unreliable","Weakly unreliable","Moderately scientific","Moderately scientific","Neither scientific nor unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Neither reliable nor unreliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266164.08376,8,"Yes","No","Inconclusive","Uncorrected",29
"43",38,"No","5 <br/> Moderately strong","5 <br/> Moderately strong",50,50,"9mm","Neither credible nor noncredible","Extremely credible","Neither reliable nor unreliable","Neither reliable nor unreliable","Weakly unreliable","Moderately scientific","Moderately scientific","Neither scientific nor unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Neither reliable nor unreliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266164.08376,8,"Yes","No","Inconclusive","Uncorrected",29
"44",39,"No","1 <br/> Not at all strong","2.0",8,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658266233.09879,9,"Yes","No","NoMatch","Uncorrected",153
"45",40,"Yes","6.0","8.0",70,96,"9mm","Moderately credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658266848.53954,10,"Yes","Yes","Match","Uncorrected",407
"46",41,"Yes","7.0","7.0",75,70,"9mm","Extremely credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266963.06773,7,"Yes","No","Match","Uncorrected",450
"47",42,"No","2.0","2.0",20,20,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658267226.09383,8,"Yes","No","Inconclusive","Uncorrected",119
"48",43,"No","3.0","2.0",30,30,"9mm","Moderately credible","Extremely credible","Extremely unreliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658267246.03155,8,"Yes","No","Inconclusive","Uncorrected",65
"49",43,"No","3.0","2.0",30,30,"9mm","Moderately credible","Extremely credible","Extremely unreliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658267246.03155,8,"Yes","No","Inconclusive","Uncorrected",65
"50",44,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658267379.3967,9,"Yes","No","NoMatch","Uncorrected",88
"51",45,"No","1 <br/> Not at all strong","2.0",30,31,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658268211.54283,11,"Yes","Yes","Inconclusive","Uncorrected",224
"52",46,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,1,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658270078.15822,9,"Yes","No","NoMatch","Uncorrected",272
"53",47,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658321020.31833,12,"Yes","Yes","NoMatch","Uncorrected",433
"54",48,"No","4.0","4.0",43,47,"9mm","Weakly credible","Moderately credible","Weakly unreliable","Weakly unreliable","Moderately reliable","Moderately scientific","Weakly scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658322349.88703,8,"Yes","No","Inconclusive","Uncorrected",348
"55",49,"Yes","9 <br/> Extremely strong","8.0",97,99,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Weakly unscientific","Weakly scientific","Extremely scientific","4.0","4.0","Sometimes","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658322470.50701,8,"Yes","No","Inconclusive","Uncorrected",237
"56",50,"No","1 <br/> Not at all strong","4.0",30,30,"9mm","Weakly noncredible","Weakly noncredible","Neither reliable nor unreliable","Weakly reliable","Weakly reliable","Neither scientific nor unscientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Weakly unreliable","Moderately reliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658322811.93384,12,"Yes","Yes","NoMatch","Uncorrected",320
"57",51,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658322964.48803,12,"Yes","Yes","NoMatch","Uncorrected",354
"58",52,"Yes","8.0","9 <br/> Extremely strong",90,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323190.47175,10,"Yes","Yes","Match","Uncorrected",62
"59",53,"No","3.0","1 <br/> Not at all strong",18,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323291.44658,12,"Yes","Yes","NoMatch","Uncorrected",454
"60",54,"No","2.0","4.0",15,15,"9mm","Weakly credible","Weakly credible","Moderately unreliable","Neither reliable nor unreliable","Moderately reliable","Weakly scientific","Weakly scientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Neither reliable nor unreliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658323351.1023,12,"Yes","Yes","NoMatch","Uncorrected",180
"61",55,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,15,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Moderately scientific","Moderately scientific","4.0","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658323875.95952,12,"Yes","Yes","NoMatch","Uncorrected",173
"62",56,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Moderately unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658323945.81042,12,"Yes","Yes","NoMatch","Uncorrected",312
"63",57,"Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",100,100,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658324165.55114,12,"Yes","Yes","NoMatch","Uncorrected",380
"64",58,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325159.44298,12,"Yes","Yes","NoMatch","Uncorrected",500
"65",59,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325464.03602,12,"Yes","Yes","NoMatch","Uncorrected",22
"66",60,"No","2.0","2.0",20,12,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658325664.67415,11,"Yes","Yes","Inconclusive","Uncorrected",435
"67",61,"Yes","8.0","8.0",96,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325693.49944,10,"Yes","Yes","Match","Uncorrected",518
"68",61,"Yes","8.0","8.0",96,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325693.49944,10,"Yes","Yes","Match","Uncorrected",518
"69",62,"No","5 <br/> Moderately strong","7.0",57,70,"9mm","Moderately credible","Extremely credible","Moderately reliable","Neither reliable nor unreliable","Moderately unreliable","Neither scientific nor unscientific","Extremely scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658326503.95546,10,"Yes","Yes","Match","Uncorrected",202
"70",63,"No","2.0","3.0",14,13,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Weakly scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658326577.44292,11,"Yes","Yes","Inconclusive","Uncorrected",94
