"","gender","age","income","gunown","guncomfort","page.x","time.x","randomnumber","start_time","conclusion","education","vote","political","arrest","state","jury","crimejury","page.y","time.y","convict","def_comment","guilt_opinion","betting","hidden_probability","chances_fixed","evidence_strength","numeric_chance","check","visible_probability"
"11","Woman","46 - 55","$40,000 - $49,999","No","Moderately Uncomfortable",2,"1706138588.93049",88.5941922664642,"1706138458.75359","Match","4 year degree","Democratic","Very Liberal","No","PA","No","N/A",3,"1706138609.10594","Yes","I think he is guilty.","Yes","50","94","About 999 chances in 1,000","9 Extremely strong","innocent,1,1000","9mm","98"
"12","Woman","26 - 35","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706210879.41112",67.3916017636657,"1706210838.30496","Match","Professional degree","Republican","Middle of the Road","No","GA","No","N/A",4,"1706210902.54385","Yes","that he is guilty","Yes","50","98","Certain to be guilty","8","innocent,1,1000","9mm","98"
"13","Woman","36 - 45","More than $150,000","Yes","Moderately Comfortable",2,"1706212458.92335",76.4655640115961,"1706212389.95364","NoMatch","Professional degree","Republican","Middle of the Road","No","TX","No","N/A",4,"1706212542.71863","No","100% innocent as the bullet did not come from his gun. AND he should sue for illegal search and seizure - as there was no grounds to search his car unless he was going to be arrested for speeding. And the seizure of his gun for simply being of the same caliber is not enough for probable cause.","No","50","37","About 1 chance in 1,000","1 Not at all strong","guilty,1,1000","9mm","20"
"14","Woman","46 - 55","More than $150,000","No","Neither Comfortable nor Uncomfortable",2,"1706214708.10606",4.81148788239807,"1706214683.00767","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","AZ","No","N/A",4,"1706214728.26354","No","He was mistakenly arrested for the crime. ","No","50","1","About 1 chance in 10,000","1 Not at all strong","innocent,9,10","9mm","3"
"15","Woman","46 - 55","More than $150,000","No","Slightly Comfortable",2,"1706219825.0314",81.9599739974365,"1706219790.92194","NoMatch","4 year degree","No consistent preference","Somewhat Conservative","Yes","MA","No","N/A",4,"1706219864.80688","No","After reading this information, I think the defendant is not guilty of discharging the firearm in the store.","No","50","2","Impossible that he is guilty","1 Not at all strong","innocent,97,100","9mm","3"
"16","Woman","26 - 35","$30,000 - $39,999","No","Moderately Uncomfortable",2,"1706219900.54237",17.5027804914862,"1706219868.43133","Match","Some college","Democratic","Very Liberal","No","MO","No","N/A",3,"1706219923.88006","Yes","I believe its highly likely the defendant was the person who fired the firearm in the attempted robbery.","Yes","40","86","About 9 chances in 10","7","innocent,2,100","9mm","98"
"17","Man","26 - 35","$70,000 - $79,999","No","Moderately Uncomfortable",2,"1706222062.15008",41.1890884395689,"1706222003.27131","NoMatch","2 year degree","No consistent preference","Somewhat Liberal","No","FL","No","N/A",4,"1706222100.68356","No","innocent","No","50","13","About 1 chance in 10","4","innocent,90,100","9mm","11"
"18","Woman","26 - 35","$70,000 - $79,999","No","Extremely Uncomfortable",2,"1706227480.58484",5.12320278212428,"1706227456.84737","Match","4 year degree","Democratic","Somewhat Liberal","No","IN","Yes","Yes",4,"1706227498.84207","No","There's not enough evidence the defendants is the individual fired the gun, just that the same gun was used.","No","25","49","1 chance in 2 (fifty-fifty chance)","3","innocent,1,2","9mm","50"
"19","Woman","26 - 35","$100,000 - $149,999","No","Slightly Uncomfortable",2,"1706227958.71688",77.3973629809916,"1706227894.78288","NoMatch","Professional degree","Democratic","Very Liberal","No","FL","No","N/A",3,"1706227990.165","No","Cannot prove that they are guilty since currently the evidence does not support it.","No","50","6","About 1 chance in 100","2","innocent,4,5","9mm","5"
"20","Man","56 - 65","More than $150,000","No","Neither Comfortable nor Uncomfortable",2,"1706229420.75125",55.3554711863399,"1706229388.1162","Match","4 year degree","No consistent preference","Middle of the Road","No","NH","No","N/A",3,"1706229442.57272","No","I have no opinion about the defendant themselves only about the decision of guilt.","No","50","77","1 chance in 2 (fifty-fifty chance)","1 Not at all strong","innocent,1,5","9mm","80"
"21","Man","26 - 35","$50,000 - $59,999","Yes","Moderately Comfortable",2,"1706229423.44117",94.4486653199419,"1706229334.93215","Match","4 year degree","Democratic","Somewhat Liberal","No","NY","Yes","Yes",3,"1706229636.53241","Yes","I think the defendant made a very inconsiderate choice, and given the evidence, he has every right to be convicted.","Yes",NA,"95",NA,"7","guilty,1,1",NA,"94"
"22","Woman","18 - 25","Less than $10,000","No","Extremely Uncomfortable",2,"1706230746.19723",93.7483956106007,"1706230705.0658","NoMatch","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",3,"1706230773.04646","No","He was at the wrong place at the wrong time.","No","25","28","About 1 chance in 10","3","innocent,20,100","9mm","25"
"23","Woman","26 - 35","$100,000 - $149,999","No","Moderately Uncomfortable",2,"1706231518.69464",6.65063327178359,"1706231459.19021","Match","Professional degree","Democratic","Somewhat Liberal","No","KY","No","N/A",4,"1706231534.30898","Yes","I feel like the defendant made a conscious decision to go into a store and shoot to create power over the people inside to demand money. I feel as if he is guilty. ","Yes","45","99","About 9,999 chances in 10,000","8","guilty,9.9,10","9mm","99"
"24","Man","18 - 25","$100,000 - $149,999","Yes","Moderately Comfortable",2,"1706233014.73121",83.392433822155,"1706232949.37468","NoMatch","4 year degree","Republican","Somewhat Conservative","No","GA","No","N/A",3,"1706233047.4872","No","I do not have many thoughts about the defendant except that I could not find him guilty. ","No","20","17","About 1 chance in 10","2","innocent,75,100","9mm","14"
"25","Man","36 - 45","$50,000 - $59,999","Yes","Extremely Comfortable",2,"1706233045.57096",34.6268392167985,"1706233013.9178","Match","High school graduate","Republican","Very Conservative","Yes","TX","No","N/A",3,"1706233076.94009","Yes","That he was in a hostile state and fired the weapon. (Sounds like a mental episode but I feel he knew what he was doing and should be charged accordingly)","Yes","48","90","About 999 chances in 1,000","9 Extremely strong","guilty,8,10","9mm","87"
"26","Woman","46 - 55","$100,000 - $149,999","No","Slightly Comfortable",2,"1706236217.63257",72.8401005500928,"1706236198.75422","Match","2 year degree","Democratic","Very Liberal","No","FL","No","N/A",4,"1706236234.84484","No","I have no opinion on the defendant. I have heard nothing about or from him. I've only heard that the firearm is the same. That does not mean he fired it.","No","25","50","1 chance in 2 (fifty-fifty chance)","2","innocent,1,2","9mm","50"
"27","Woman","26 - 35","$50,000 - $59,999","No","Slightly Uncomfortable",2,"1706237150.99044",15.5597139149904,"1706237120.90802","Match","4 year degree","Democratic","Very Liberal","No","FL","No","N/A",4,"1706237174.58101","Yes","I believe he is guilty","Yes","50","85","About 9,999 chances in 10,000","8","guilty,100,100","9mm","80"
"28","Man","Over 65","More than $150,000","Yes","Extremely Comfortable",2,"1706238114.45836",43.9650378422812,"1706238054.46806","NoMatch","Professional degree","Democratic","Very Liberal","No","NC","No","N/A",3,"1706238142.98173","No","He's not guilty.  Other than that, no other opinion","No","50","2","About 1 chance in 100","1 Not at all strong","innocent,99,100","9mm","1"
"29","Man","36 - 45","$100,000 - $149,999","No","Moderately Uncomfortable",2,"1706239732.41673",60.6495359912515,"1706239691.33457","NoMatch","4 year degree","Republican","Somewhat Conservative","No","MN","No","N/A",4,"1706239764.4232","Yes","","Yes","10","50","1 chance in 2 (fifty-fifty chance)","3","innocent,9,10","Rifle slug","65"
"30","Woman","26 - 35","$100,000 - $149,999","No","Moderately Comfortable",2,"1706278354.34201",31.911884364672,"1706278329.89423","Match","4 year degree","Republican","Very Conservative","No","TN","No","N/A",3,"1706278372.31323","Yes","I think Richard Cole was the one who shot the firearm in the conveince store.","Yes","50","100","Certain to be guilty","9 Extremely strong","guilty,1,1","9mm","100"
"31","Man","18 - 25","$70,000 - $79,999","No","Slightly Comfortable",2,"1706278524.75048",66.9786166865379,"1706278420.73337","NoMatch","High school graduate","Democratic","Somewhat Liberal","No","IL","No","N/A",3,"1706278553.13402","No","They were someone unrelated to the case who just so happened to have the same weapon as the criminal.","No","38","7","About 1 chance in 10","3","guilty,1,10","22mm","10"
"32","Man","56 - 65","More than $150,000","Yes","Moderately Comfortable",2,"1706279919.67956",81.4581445651129,"1706279843.06494","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","WA","No","N/A",3,"1706279947.74808","No","She is trained, validated, competent","No","50","2","About 1 chance in 100","1 Not at all strong","guilty,2.5,100","9mm","2"
"33","Man","26 - 35","$90,000 - $99,999","No","Slightly Uncomfortable",2,"1706279947.88416",10.6593475677073,"1706279925.53531","NoMatch","Professional degree","Democratic","Middle of the Road","No","OK","No","N/A",3,"1706279969.46046","No","He was justified in being pulled over for speeding, but wrongly charged with the felony","No","50","11","About 1 chance in 1,000","2","innocent,1,1","9mm","3"
"34","Woman","26 - 35","$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",2,"1706279975.62196",15.226727980189,"1706279956.06875","NoMatch","High school graduate","No consistent preference","Middle of the Road","Yes","FL","No","N/A",3,"1706279999.10834","No","They seem like they had a lot of time to really think.","No","25","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,25,50","9mm","50"
"35","Woman","56 - 65","$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",2,"1706281295.39381",60.8519374625757,"1706281264.37745","Match","Some college","Democratic","Middle of the Road","Yes","NC","Yes","Yes",3,"1706281317.68089","No","I am not sure if he actually fired the gun. Unless the Cashier knew him personally. It never stated how the Cops knew what he looked like or if it was just a routine traffic stop. To much vague information even without the Gun Examiner. ","Yes","25","52","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,50,1000","9mm","50"
"36","Woman","46 - 55","Less than $10,000","No","Slightly Uncomfortable",2,"1706282336.48177",18.5732107143849,"1706282312.71991","NoMatch","Some college","No consistent preference","Middle of the Road","Yes","WI","No","N/A",4,"1706282356.83105","No","I believe the defendent is innocent and their firearm was not the one used in the attempted robbery.","No","50","6","About 1 chance in 100","1 Not at all strong","innocent,98,100","9mm","3"
"37","Man","26 - 35","$70,000 - $79,999","No","Slightly Comfortable",2,"1706282540.61024",2.5292090838775,"1706282464.60167","Match","Some college","Democratic","Somewhat Liberal","No","CA","No","N/A",3,"1706282565.16023","No","Although the bullet may have been fired from the same gun there's no conclusive evidence showing Richard was the one firing it. ","Yes","50","80","About 99 chances in 100","4","guilty,98,100","9mm","93"
"38","Woman","36 - 45","$70,000 - $79,999","No","Neither Comfortable nor Uncomfortable",2,"1706283231.39119",92.7955627441406,"1706283178.67737","Match","4 year degree","No consistent preference","Somewhat Liberal","Yes","MS","No","N/A",3,"1706283256.90732","No","I'm not sure what I think about the defendent. But I don't believe based on what I read I could confidently convict the defendant","No","20","50","1 chance in 2 (fifty-fifty chance)","3","guilty,1,2","9mm","50"
"39","Woman","26 - 35","$20,000 - $29,999","No","Extremely Uncomfortable",2,"1706283746.67776",4.13415778893977,"1706283667.47989","Match","2 year degree","Democratic","Somewhat Liberal","Yes","GA","No","N/A",3,"1706283777.67234","Yes","I think the defendant is the person wo committed the attempted robbery.","Yes","45","99","About 9,999 chances in 10,000","9 Extremely strong","innocent,1,100","9mm","99"
"40","Man","18 - 25","$40,000 - $49,999","No","Moderately Uncomfortable",2,"1706284045.11246",16.3766237674281,"1706283891.30204","NoMatch","High school graduate","Democratic","Somewhat Liberal","No","FL","No","N/A",3,"1706284066.81844","No","Since the bullets were fired from different guns, unless the defendant had an accomplice with their own firearm, or owned an additional firearm not found yet, it's probable they were not guilty.","No","25","24","About 1 chance in 10","3","innocent,7,10","9mm","20"
"41","Woman","26 - 35","$60,000 - $69,999","No","Moderately Uncomfortable",2,"1706285006.73554",54.7213898273185,"1706284976.57302","NoMatch","4 year degree","Democratic","Very Liberal","No","WA","No","N/A",4,"1706285029.61774","No","I think the defendant is telling the truth. I believe in firearms analysis and trust the judgement of the examiner.","No","10","11","About 1 chance in 10","2","innocent,9,10","9mm","10"
"42","Woman","36 - 45","$30,000 - $39,999","No","Moderately Uncomfortable",2,"1706285160.41815",3.10793195385486,"1706285095.71561","NoMatch","4 year degree","Democratic","Very Liberal","Yes","AL","No","N/A",3,"1706285190.91264","No","I think the defendant was only aressted because they happened to have the same gun the police were looking for.","No","50","0","Impossible that he is guilty","1 Not at all strong","innocent,100,100","9mm","0"
"43","Woman","46 - 55","$100,000 - $149,999","No","Moderately Comfortable",2,"1706286047.82422",49.3517782073468,"1706286019.15756","NoMatch","Professional degree","No consistent preference","Middle of the Road","Yes","MD","No","N/A",3,"1706286077.7942","No","He was arrested because of a traffic stop search (that we don't know was legal) and is likely innocent based on info given so far.","No","50","3","Impossible that he is guilty","1 Not at all strong","innocent,100,100","9mm","3"
"44","Woman","26 - 35","$100,000 - $149,999","No","Moderately Uncomfortable",2,"1706286216.6118",79.8437071964145,"1706286181.11456","NoMatch","2 year degree","Democratic","Very Liberal","No","FL","No","N/A",3,"1706286238.40963","No","I think he's innocent and am surprised that he even went to trial for this crime.","No","50","2","About 1 chance in 100","1 Not at all strong","innocent,97,100","9mm","2"
"45","Woman","18 - 25","$20,000 - $29,999","No","Slightly Uncomfortable",2,"1706287270.29237",12.0043957373127,"1706287240.66246","Match","High school graduate","Democratic","Somewhat Liberal","No","MI","No","N/A",4,"1706287289.74679","Yes","I think the defendant is guilty.","Yes","30","47","1 chance in 2 (fifty-fifty chance)","4","guilty,80,100","9mm","50"
"46","Woman","26 - 35","More than $150,000","No","Extremely Uncomfortable",2,"1706287613.99047",20.5400130013004,"1706287564.62009","NoMatch","4 year degree","No consistent preference","Somewhat Liberal","Yes","PA","No","N/A",3,"1706287636.82238","No","he is someone who owns a legal gun","No","50","0","Impossible that he is guilty","1 Not at all strong","innocent,100,100","9mm","0"
"47","Man","18 - 25","$20,000 - $29,999","No","Moderately Uncomfortable",2,"1706288074.17934",64.9185927119106,"1706287900.77473","Match","2 year degree","No consistent preference","Middle of the Road","Yes","TX","No","N/A",3,"1706288134.26825","Yes","I think the chances of the defendant being guilty is high. The experience of the examiner shows and properly explained to the jury of the process he did to conduct that the bullet came from that same gun. It also is mentioned that his work is peer=reviewed which is an indication that he isn't the only one who came to the same conclusion. ","Yes","40","100","About 9 chances in 10","9 Extremely strong","guilty,950,1000","9mm","95"
"48","Woman","26 - 35","More than $150,000","No","Extremely Uncomfortable",2,"1706288261.82489",30.4161695064977,"1706288239.77173","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","NC","No","N/A",3,"1706288277.26988","No","I don't see why he would've been arrested for the crime when there's nothing truly linking him to firing the gun in the store apart from having a 9mm.","No","49","3","About 1 chance in 100","1 Not at all strong","guilty,2,100","9mm","2"
"49","Man","56 - 65","$40,000 - $49,999","No","Extremely Comfortable",2,"1706288318.27338",35.5572785250843,"1706288247.23936","Match","4 year degree","Republican","Somewhat Conservative","No","TN","No","N/A",3,"1706288371.85848","No","I am not sure and would have to see more evidence.","No","40","45","About 1 chance in 100","3","innocent,1,3","9mm","41"
"50","Woman","26 - 35","$40,000 - $49,999","No","Slightly Comfortable",2,"1706288745.50511",25.8088362636045,"1706288694.28239","NoMatch","Some college","Republican","Somewhat Conservative","Yes","IA","No","N/A",3,"1706288833.47542","No","After reading the information, I have no thoughts or feelings towards the defendant.","No","50","4","About 1 chance in 100","1 Not at all strong","guilty,2,10","9mm","16"
"51","Woman","26 - 35","$100,000 - $149,999","Yes","Moderately Comfortable",2,"1706290464.28401",90.5646281084046,"1706290405.8288","Match","Some college","No consistent preference","Middle of the Road","No","VA","No","N/A",3,"1706290490.64147","Yes","That he made a mistake and has to pay the time","Yes","50","99","About 99 chances in 100","9 Extremely strong","innocent,1,100","9mm","99"
"52","Man","36 - 45","$40,000 - $49,999","No","Extremely Uncomfortable",2,"1706290546.76462",36.2649532034993,"1706290512.36395","Match","4 year degree","Republican","Very Liberal","No","OH","No","N/A",3,"1706290588.18523","Yes","is guilty","Yes","50","79","About 9,999 chances in 10,000","9 Extremely strong","guilty,90,90","9mm","80"
"53","Woman","26 - 35","More than $150,000","Yes","Moderately Comfortable",2,"1706291545.36379",66.0034898668528,"1706291520.33302","NoMatch","4 year degree","Democratic","Very Liberal","No","GA","No","N/A",3,"1706291561.25793","No","That they were stopped by police for something irrelevant to the crime with no evidence they did this crime","No","50","2","About 1 chance in 10,000","1 Not at all strong","guilty,1,100000","9mm","1"
"54","Man","56 - 65","$70,000 - $79,999","No","Slightly Comfortable",2,"1706292619.93366",33.6535434238613,"1706292545.40856","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","MO","No","N/A",4,"1706292673.00077","No","I don't know how they knew to check the two bullets","No","50","0","Impossible that he is guilty","1 Not at all strong","guilty,1,100","9mm","20"
"55","Woman","46 - 55","$100,000 - $149,999","Yes","Neither Comfortable nor Uncomfortable",2,"1706292850.00619",39.8814989021048,"1706292621.8648","Match","4 year degree","Democratic","Somewhat Liberal","Yes","NY","No","N/A",3,"1706292892.7068","No","I think there is a good likelihood that the defendant is actually guilty of the crime. However, while I believe the gun is the one used in the crime, it has not been proven to me that this man is the person who shot it.","Yes","30","74","About 9 chances in 10","5 Moderately strong","innocent,25,100","9mm","75"
"56","Woman","26 - 35","$30,000 - $39,999","No","Extremely Uncomfortable",2,"1706294074.57876",16.6137336054817,"1706294045.33253","Match","Some college","Democratic","Very Liberal","Yes","TX","No","N/A",3,"1706294091.31917","Yes","I think he's probably guilty.","No","15","57","About 1 chance in 10","6","guilty,1,5","9mm","56"
"57","Woman","18 - 25","$50,000 - $59,999","No","Slightly Uncomfortable",2,"1706294136.78524",59.7270184196532,"1706294045.51128","Match","High school graduate","Democratic","Very Liberal","No","OK","No","N/A",3,"1706294157.81464","Yes","they did something wrong and will probably serve time for it.","Yes","50","100","About 9,999 chances in 10,000","9 Extremely strong","innocent,1,10000","9mm","100"
"58","Woman","18 - 25","$10,000 - $19,999","No","Moderately Comfortable",2,"1706294894.15578",51.6070082085207,"1706294857.42137","Match","4 year degree","Democratic","Somewhat Liberal","Yes","NE","No","N/A",3,"1706294909.62136","Yes","That they are guilty with the evidence provided, but is there really no chance another gun from the same manufacturer make the same groves that were used to find him guilty?","Yes","35","76","About 99 chances in 100","7","guilty,7,10","9mm","75"
"59","Woman","18 - 25","$10,000 - $19,999","No","Slightly Uncomfortable",2,"1706295646.45626",19.2131517920643,"1706295610.26387","NoMatch","Some college","Democratic","Very Liberal","Yes","WI","No","N/A",3,"1706295685.31433","No","Probably wrong place wrong  time. Racism? ","No","45","4","About 1 chance in 1,000","3","innocent,1,1000","9mm","4"
"60","Man","18 - 25","$40,000 - $49,999","No","Slightly Comfortable",2,"1706295675.95497",20.7537484355271,"1706295661.42563","Match","4 year degree","No consistent preference","Middle of the Road","No","CT","No","N/A",3,"1706295690.25953","No","I think while evidence does point in favor of him being guilty, it is not beyond a reasonable doubt and while chance is small, it is still possible that someone else fired a gun with similar bullets.","No","20","23","About 1 chance in 10","3","innocent,40,100","9mm","30"
"61","Man","36 - 45","$20,000 - $29,999","No","Moderately Comfortable",2,"1706296499.80622",58.1878307973966,"1706296433.18915","NoMatch","Some college","No consistent preference","Middle of the Road","Yes","MD","No","N/A",3,"1706296536.74904","No","He's innocent","No","50","0","Impossible that he is guilty","1 Not at all strong","innocent,1,1","9mm","0"
"62","Woman","26 - 35","More than $150,000","No","Slightly Comfortable",2,"1706296521.99809",20.5526267876849,"1706296502.09542","Match","High school graduate","Democratic","Very Liberal","No","NC","No","N/A",3,"1706296575.90832","No","I do not know much of the defendant other than they had a 9mm handgun that was registered to them.","No","25","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,5,10","9mm","50"
"63","Woman","46 - 55","$60,000 - $69,999","No","Extremely Uncomfortable",2,"1706297434.12229",77.022897824645,"1706297400.21193","Match","Some college","No consistent preference","Middle of the Road","Yes","NY","No","N/A",3,"1706297465.07337","Yes","There is nothing to think about. I did not hear weather or not the gun was legal, nor did I hear if he match the height, voice and color. He pleaded quilty already","Yes","25","50","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","innocent,50,500","9mm","50"
"64","Man","26 - 35","$70,000 - $79,999","Yes","Extremely Comfortable",2,"1706297465.45159",33.3848473615944,"1706297420.08675","NoMatch","2 year degree","No consistent preference","Middle of the Road","No","AL","No","N/A",3,"1706297506.04672","No","the gun recovered from the traffic stop was not the one that was shot in to the ceiling","No","50","2","About 999 chances in 1,000","1 Not at all strong","innocent,999,1000","9mm","0"
"65","Woman","26 - 35","Less than $10,000","No","Extremely Uncomfortable",2,"1706298227.12782",3.02124093286693,"1706298209.20185","NoMatch","High school graduate","Democratic","Very Liberal","No","KS","No","N/A",3,"1706298245.59176","No","He is innocent ","No","10","5","About 1 chance in 10,000","1 Not at all strong","guilty,1,30","9mm","6"
"66","Man","36 - 45","$70,000 - $79,999","No","Slightly Uncomfortable",2,"1706298835.23589",5.95056244637817,"1706298782.28087","NoMatch","Professional degree","Democratic","Somewhat Liberal","No","LA","Yes","Yes",3,"1706298875.15181","No","Guilty of driving whilst black...Targeted by the police officer, baselessly linked to the crime.","No","50","0","About 1 chance in 10,000","1 Not at all strong","innocent,100,100","9mm","1"
"67","Man","26 - 35","$90,000 - $99,999","No","Extremely Uncomfortable",2,"1706300085.39542",61.1895357025787,"1706300029.51672","NoMatch","Some college","Democratic","Very Liberal","No","CT","No","N/A",3,"1706300107.63671","No","Defendant is not guilty. Expert said bullets came from different firearms.","No","50","0","Impossible that he is guilty","1 Not at all strong","innocent,1,1","9mm","0"
"68","Woman","26 - 35","$70,000 - $79,999","No","Moderately Comfortable",2,"1706300090.52618",60.0390943465754,"1706300005.27789","NoMatch","4 year degree","Democratic","Somewhat Liberal","No","CT","No","N/A",3,"1706300142.98405","No","I dont have an opinion on the defendant based on the information obtained","No","25","3","About 1 chance in 10,000","1 Not at all strong","guilty,1,10000","9mm","5"
"69","Man","56 - 65","$60,000 - $69,999","Yes","Slightly Comfortable",2,"1706301378.48253",69.5062736514956,"1706301288.3036","NoMatch","Some college","Republican","Very Conservative","No","WA","No","N/A",3,"1706301408.82185","No","That he made an error in shooting the gun","No","20","19","About 99 chances in 100","6","innocent,85,100","9mm","36"
"70","Woman","56 - 65","$90,000 - $99,999","No","Extremely Uncomfortable",2,"1706301553.70226",14.3693887162954,"1706301512.88126","NoMatch","Professional degree","Democratic","Very Liberal","No","NM","No","N/A",3,"1706301597.72325","No","Defendant did not fire the gun ","No","50","3","About 1 chance in 100","1 Not at all strong","innocent,1,100","9mm","1"
"71","Man","26 - 35","$30,000 - $39,999","No","Moderately Uncomfortable",2,"1706302118.34135",73.0564123252407,"1706302039.57614","NoMatch","Some college","No consistent preference","Somewhat Conservative","No","SC","No","N/A",3,"1706302150.72129","No","Completely innocent, outside of a traffic violation and having a firearm that matches that caliber of the bullet (that one isn't a crime).","No","40","1","About 1 chance in 1,000","1 Not at all strong","guilty,1,1000","9mm","1"
"72","Woman","18 - 25","Less than $10,000","No","Slightly Uncomfortable",2,"1706303243.01365",77.0316614070907,"1706303224.27191","NoMatch","Some college","No consistent preference","Somewhat Liberal","Yes","CA","No","N/A",3,"1706303261.95269","No","I think the defendant sounds really sure and professional of everything they said. Without fact checking, it seems like he knows what he's doing","No","50","30","About 1 chance in 100","4","innocent,1,5","9mm","43"
"73","Man","26 - 35","$70,000 - $79,999","No","Moderately Comfortable",2,"1706303521.15185",65.7084946753457,"1706303470.40303","Match","Some college","Democratic","Very Liberal","Yes","NY","No","N/A",3,"1706303536.78057","No","Im not sure, we never got to hear his side of the story. ","No","15","64","1 chance in 2 (fifty-fifty chance)","5 Moderately strong","guilty,7,10","9mm","65"
"74","Woman","56 - 65","$70,000 - $79,999","No","Extremely Comfortable",2,"1706304019.11298",36.614958033897,"1706303226.7981","Match","4 year degree","Republican","Somewhat Conservative","Yes","GA","Yes","No",3,"1706304065.30869","Yes","It seems that he is guilty of the charge against him (or, that his gun is the gun that fired the bullet)","Yes","25","80","About 9 chances in 10","8","innocent,1,5","9mm","75"
