"","race","gender","age","income","gunown","guncomfort","time.x","fingerprint","educ","vote","poli","arrest","state","jury","jurycrim","time.y"
"35","White","Male",34,"$20,000 - $29,999","No","Slightly Uncomfortable",1658254696.99814,"e6728936c5942ea8b00fbb91aa49a04d","4 year degree","Democratic","Very Liberal","No","CA","No","N/A",1658254713.81339
"36","Black or African American","Male",43,"$70,000 - $79,999","No","Extremely Uncomfortable",1658254847.58558,"3cfcb4f3a526ba113358568d5c765910","4 year degree","Democratic","Very Liberal","No","TN","No","N/A",1658254884.16417
"37","White","Female",24,"$20,000 - $29,999","No","Slightly Comfortable",1658254889.92551,"9a6619e8b24be96768de5833cc1328ed","4 year degree","Democratic","Very Liberal","Yes","KY","No","N/A",1658254920.24263
"38","White","Female",65,"$50,000 - $59,999","Yes","Slightly Uncomfortable",1658255072.5477,"2c1764a3ce379c93bccbc399d66483ea","Some college","No consistent preference","Somewhat Liberal","Yes","GA","Yes","No",1658255117.99775
"39","White","Female",22,"$100,000 - $149,999","No","Extremely Uncomfortable",1658257905.35125,"0c17d92cac6c75a78c4667cd1dff541a","Some college","Democratic","Very Liberal","Yes","NV","No","N/A",1658257943.74053
"40","White","Female",29,"$10,000 - $19,999","No","Extremely Uncomfortable",1658258006.81023,"263910dcef76341007f8e06c726ed8e2","2 year degree","Democratic","Very Liberal","Yes","CO","No","N/A",1658258029.13894
"41","White","Female",29,"$10,000 - $19,999","No","Extremely Uncomfortable",1658258006.81023,"263910dcef76341007f8e06c726ed8e2","2 year degree","Democratic","Very Liberal","Yes","CO","No","N/A",1658258584.63569
"42","White","Female",21,"$10,000 - $19,999","No","Neither Comfortable nor Uncomfortable",1658258201.67207,"125d542be0219f7a6d2b3550b44643b0","2 year degree","Republican","Very Conservative","No","AL","No","N/A",1658258225.31942
"43","White","Female",38,"$30,000 - $39,999","Yes","Neither Comfortable nor Uncomfortable",1658258434.11026,"cee6a6db748d3ca0f9e6a5ba0319566b","Some college","Democratic","Somewhat Liberal","No","MI","No","N/A",1658258462.58117
"44","White","Male",36,"$100,000 - $149,999","Yes","Extremely Comfortable",1658258438.75408,"0f6958f94e28af4547782f4c0e41a030","4 year degree","Republican","Somewhat Conservative","No","MI","No","N/A",1658258451.69944
"45","White","Female",32,"$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",1658258449.07511,"6903919fbe8f64dd2f218efa939e82a0","Some college","Democratic","Somewhat Liberal","Yes","TX","No","N/A",1658258486.47967
"46","White","Female",29,"$10,000 - $19,999","No","Extremely Uncomfortable",1658258583.92298,"263910dcef76341007f8e06c726ed8e2","2 year degree","Democratic","Very Liberal","Yes","CO","No","N/A",1658258029.13894
"47","White","Female",29,"$10,000 - $19,999","No","Extremely Uncomfortable",1658258583.92298,"263910dcef76341007f8e06c726ed8e2","2 year degree","Democratic","Very Liberal","Yes","CO","No","N/A",1658258584.63569
"48","White","Male",20,"$100,000 - $149,999","No","Extremely Uncomfortable",1658258598.19087,"aedf41d98c43d093098e5448b0ba6d4b","2 year degree","Democratic","Very Liberal","No","FL","No","N/A",1658258632.64532
"49","Asian","Male",30,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658258835.89988,"4957363c2be17346550c399387edc34a","4 year degree","No consistent preference","Middle of the Road","No","PA","No","N/A",1658258851.11124
"50","Black or African American","Female",53,"$10,000 - $19,999","No","Slightly Uncomfortable",1658258962.71909,"b746dbefe3411e61e1d0de37907d8bac","Professional degree","Democratic","Very Liberal","No","VA","No","N/A",1658258991.9518
"51","White","Female",22,"$70,000 - $79,999","No","Slightly Uncomfortable",1658258997.14237,"6409856ae269410ca57c8464d85ae898","4 year degree","No consistent preference","Middle of the Road","No","FL","No","N/A",1658259018.69893
"52","White","Female",53,"$100,000 - $149,999","No","Slightly Uncomfortable",1658259114.57724,"f8d3d4bab591ebab55a2825b09f1f9ee","Some college","Republican","Very Conservative","No","OH","No","N/A",1658259145.10893
"53","White","Other/non-binary",25,"Less than $10,000","No","Neither Comfortable nor Uncomfortable",1658259190.65492,"33455ac5c5095fb9d8c709542a723684","4 year degree","Democratic","Very Liberal","No","IL","No","N/A",1658259219.12556
"54","White","Female",25,"More than $150,000","No","Extremely Uncomfortable",1658259222.49219,"1de63e5f0c1f802c0a1617eb66878b8c","4 year degree","Democratic","Somewhat Liberal","No","NY","No","N/A",1658259244.43484
"55","White, Black or African American","Female",26,"$30,000 - $39,999","No","Slightly Uncomfortable",1658259231.01709,"202872a7d2221e4fbf3a56ee50560c90","4 year degree","Democratic","Middle of the Road","No","KY","No","N/A",1658259270.06971
"56","Other","Female",47,"$10,000 - $19,999","No","Extremely Uncomfortable",1658259364.29412,"755487b12278814f8b394b722528b1c6","Some college","No consistent preference","Somewhat Conservative","No","TN","No","N/A",1658259408.56754
"57","White","Female",22,"$50,000 - $59,999","Yes","Moderately Comfortable",1658259368.94461,"10b358f641cc227cea79f263a25c9eda","High school graduate","Republican","Middle of the Road","Yes","VT","No","N/A",1658259405.03945
"58","White","Female",30,"$80,000 - $89,999","No","Extremely Uncomfortable",1658259375.25126,"48d5b309f8bd4fa44a445526c7ef0e04","4 year degree","Democratic","Very Liberal","No","NY","No","N/A",1658259390.11041
"59","White","Male",73,"$80,000 - $89,999","No","Moderately Comfortable",1658259393.73826,"0c3a2ded9be5aeb201bd77c30b76230f","Professional degree","Democratic","Somewhat Liberal","No","AL","Yes","N/A",1658259436.55236
"60","White, Native Hawaiian or Pacific Islander","Female",0.2,"$10,000 - $19,999","Yes","Extremely Comfortable",1658259447.16484,"d573f2b79ec7efa21235304290618ebf","2 year degree","Democratic","Middle of the Road","No","PA","Yes","N/A",1658259757.67465
"61","White","Female",49,"$70,000 - $79,999","No","Extremely Uncomfortable",1658260385.44969,"51f0af1eabc4b6b9be60a27499037419","Some college","No consistent preference","Middle of the Road","No","OH","No","N/A",1658260418.52484
"62","White","Female",29,"$40,000 - $49,999","No","Neither Comfortable nor Uncomfortable",1658260593.28591,"552820bc7f7b286aaa763cfcfff5093f","4 year degree","No consistent preference","Middle of the Road","No","MI","No","N/A",1658260613.15136
"63","White","Female",32,"More than $150,000","No","Extremely Uncomfortable",1658260789.4655,"d0336070883b6c9cc1392f6d1ed59335","4 year degree","Democratic","Very Liberal","No","MO","No","N/A",1658260808.50809
"64","White","Female",33,"$50,000 - $59,999","No","Slightly Comfortable",1658260798.18165,"11aad27692ae89543370f32a6099648a","Professional degree","Democratic","Somewhat Liberal","Yes","AL","Yes","No",1658260822.53387
"65","Hispanic","Male",23,"$10,000 - $19,999","No","Extremely Uncomfortable",1658260858.40482,"a6ecdbece6886fb26e7fd998e4bd0d46","2 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658260894.68414
"66","White","Female",22,"$20,000 - $29,999","No","Extremely Uncomfortable",1658261051.69949,"d09211266441c518bef8f34d4b337304","4 year degree","Democratic","Somewhat Liberal","No","IL","No","N/A",1658261069.46316
"68","White","Female",52,"$40,000 - $49,999","No","Slightly Uncomfortable",1658261118.02774,"b2dfffd8a116ef7503f6d9c33ad572d8","2 year degree","Democratic","Somewhat Liberal","Yes","CA","No","N/A",1658261143.5518
"69","White","Male",24,"$80,000 - $89,999","No","Slightly Comfortable",1658261183.81572,"f9645c793422817cac8599970c07826e","4 year degree","Democratic","Somewhat Liberal","No","TX","No","N/A",1658261217.84884
"70","White","Female",61,"$10,000 - $19,999","No","Slightly Uncomfortable",1658261210.42034,"65a22e4152137c22e2090b78b9470372","Professional degree","Democratic","Somewhat Liberal","No","OR","Yes","Yes",1658261250.39831
"71","Black or African American","Male",22,"$60,000 - $69,999","No","Extremely Comfortable",1658261266.24146,"a8885c7adfbb50f00244ac9080242f2a","Some college","No consistent preference","Very Conservative","No","NY","No","N/A",1658261307.40587
"72","White, Asian","Female",19,"$50,000 - $59,999","No","Neither Comfortable nor Uncomfortable",1658261287.66518,"8d503b40d1f9c052b642f728ccfe5899","Some college","Democratic","Somewhat Liberal","No","TN","No","N/A",1658261307.66496
"73","White, Hispanic","Female",26,"$90,000 - $99,999","No","Slightly Uncomfortable",1658261339.37319,"70f047293eeab875276c43754a0c0e66","4 year degree","Democratic","Somewhat Liberal","No","NJ","No","N/A",1658261357.88328
"74","White","Male",NA,"$50,000 - $59,999","No","Slightly Uncomfortable",1658261389.64508,"e564e8ae2a91e83d2eb2baf75fbf0384","4 year degree","Democratic","Somewhat Liberal","No","CA","Yes","Yes",1658261419.35956
"75","White","Male",31,"$30,000 - $39,999","No","Slightly Comfortable",1658261567.774,"625b3f497f484b63750b5748418abe0a","High school graduate","Democratic","Middle of the Road","Yes","OH","No","N/A",1658261603.45919
"76","White","Male",31,"$30,000 - $39,999","No","Slightly Comfortable",1658261567.774,"625b3f497f484b63750b5748418abe0a","High school graduate","Democratic","Middle of the Road","Yes","OH","No","N/A",1658262095.89942
"78","White","Male",31,"$30,000 - $39,999","No","Slightly Comfortable",1658262065.60313,"625b3f497f484b63750b5748418abe0a","High school graduate","Democratic","Middle of the Road","Yes","OH","No","N/A",1658261603.45919
"79","White","Male",31,"$30,000 - $39,999","No","Slightly Comfortable",1658262065.60313,"625b3f497f484b63750b5748418abe0a","High school graduate","Democratic","Middle of the Road","Yes","OH","No","N/A",1658262095.89942
"80","White, Hispanic","Female",22,"$50,000 - $59,999","No","Slightly Uncomfortable",1658262765.46875,"52b0407d0c42c8cd3fa72fad7d74400b","2 year degree","Democratic","Somewhat Liberal","No","IL","No","N/A",1658262788.85949
"81","White","Female",58,"$100,000 - $149,999","No","Extremely Uncomfortable",1658262827.45623,"8ce5e720650c2dbe7bb808882b33c1a7","4 year degree","Democratic","Somewhat Liberal","Yes","MA","No","N/A",1658262854.91958
"82","White","Female",28,"$50,000 - $59,999","No","Slightly Uncomfortable",1658262892.60341,"0a828fd9bf5b06268cb0956fa65540ef","Professional degree","Democratic","Somewhat Liberal","No","VA","No","N/A",1658262909.44527
"83","White","Female",21,"$70,000 - $79,999","No","Slightly Uncomfortable",1658263124.39677,"9f4e5eadc4b79616d03d4e3319a14f28","2 year degree","Democratic","Very Liberal","No","AZ","No","N/A",1658263139.46561
"84","White","Male",28,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658263188.80588,"5686dfb8bdfb2301bf532777a3dbf6f8","Less than high school","No consistent preference","Middle of the Road","Yes","WA","No","N/A",1658263210.07526
"85","White","Female",24,"$70,000 - $79,999","Yes","Extremely Comfortable",1658263270.65119,"734f94f76fd6f7647d141bd59caf417a","2 year degree","Democratic","Somewhat Liberal","Yes","NC","No","N/A",1658263286.1081
"86","White","Female",32,"$70,000 - $79,999","No","Slightly Uncomfortable",1658263303.21165,"d75f7d347b8969b595ae8a949f4c0bee","Professional degree","Democratic","Very Liberal","No","NY","No","N/A",1658263384.21668
"87","Asian","Female",21,"$100,000 - $149,999","No","Slightly Uncomfortable",1658263636.90107,"6a69f12f408bd9072b710c1f7e597d18","4 year degree","Democratic","Somewhat Liberal","No","GA","No","N/A",1658263653.52536
"88","White","Male",36,"$20,000 - $29,999","No","Moderately Comfortable",1658263722.83043,"a858f2458427b64d0ac24dc6b5d32a14","Some college","No consistent preference","Somewhat Conservative","No","TX","No","N/A",1658263765.68877
"89","Asian","Male",24,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658263740.00945,"681b0cca4e172925406035b3f143da03","4 year degree","Democratic","Very Liberal","No","MI","No","N/A",1658263763.09211
"90","White","Female",21,"More than $150,000","No","Slightly Comfortable",1658263775.96783,"55ab680aba68335910fe4fb0bebc28cc","4 year degree","Democratic","Very Liberal","No","IL","No","N/A",1658263792.48722
"91","White","Female",37,"$10,000 - $19,999","No","Extremely Uncomfortable",1658263833.43901,"6e698ada041accf4dce470bafedb968b","Some college","Democratic","Very Liberal","Yes","RI","No","N/A",1658263874.12816
"92","White","Female",18,"$40,000 - $49,999","No","Slightly Comfortable",1658264070.35966,"d2e08ba98377e9b1b6c32c6d80673efb","Some college","Democratic","Somewhat Liberal","No","OH","No","N/A",1658264090.65019
"93","White","Female",22,"$100,000 - $149,999","No","Extremely Uncomfortable",1658264082.0991,"6831cd2c76e82038a34155d775852e96","Some college","Democratic","Somewhat Liberal","No","MD","No","N/A",1658264102.93398
"94","White","Female",NA,"$10,000 - $19,999","No","Neither Comfortable nor Uncomfortable",1658264107.49877,"e5708e26307a54468076c01436f84088","4 year degree","Democratic","Very Liberal","No","CO","No","N/A",1658264122.41379
"95","White","Female",19,"More than $150,000","No","Extremely Uncomfortable",1658264157.70343,"c792afea0785320fd7ca4d08fc27e079","Some college","Democratic","Very Liberal","No","TN","No","N/A",1658264177.72632
"96","White","Male",20,"$90,000 - $99,999","No","Slightly Uncomfortable",1658264269.16604,"9da4a4d59c5df0fb35cedb11871b206d","Some college","Democratic","Very Liberal","Yes","FL","No","N/A",1658264289.19296
"97","White","Female",NA,"More than $150,000","Yes","Moderately Comfortable",1658264279.69833,"e326dec83876cc652a052c9446456a8f","4 year degree","Republican","Middle of the Road","Yes","TX","Yes","Yes",1658264315.71852
"98","White","Female",61,"More than $150,000","No","Extremely Uncomfortable",1658264439.07238,"7804c5e4ab16ff5c5d504b3d360fd2cb","4 year degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658264459.46806
"99","White","Male",24,"$60,000 - $69,999","No","Extremely Uncomfortable",1658264497.91511,"fc2ce45c222ded9a56fb2f720df22584","Some college","Democratic","Very Liberal","No","MI","No","N/A",1658264533.70728
"100","Hispanic","Male",30,"$90,000 - $99,999","No","Slightly Comfortable",1658264560.50171,"0aac432da11f3e6d5656eb7bfada1861","Some college","Democratic","Somewhat Liberal","No","TX","Yes","No",1658264587.82824
"101","Hispanic","Male",30,"$90,000 - $99,999","No","Slightly Comfortable",1658264560.50171,"0aac432da11f3e6d5656eb7bfada1861","Some college","Democratic","Somewhat Liberal","No","TX","Yes","No",1658265072.46161
"102","Hispanic","Male",21,"$80,000 - $89,999","No","Slightly Comfortable",1658264656.68884,"f565a85fe5ae914efc16bf6c57ecc46c","Some college","Democratic","Middle of the Road","No","FL","No","N/A",1658264686.0392
"103","White","Female",42,"$30,000 - $39,999","No","Extremely Comfortable",1658264668.87657,"06475dbfa98aee278e1b1bb181c6a939","High school graduate","No consistent preference","Middle of the Road","Yes","AZ","No","N/A",1658264709.37256
"104","Asian","Female",29,"$100,000 - $149,999","No","Extremely Uncomfortable",1658265060.68415,"9f054c84565831f09c62d9d97963b713","4 year degree","Democratic","Very Liberal","No","NJ","No","N/A",1658265077.73219
"105","Hispanic","Male",30,"$90,000 - $99,999","No","Slightly Comfortable",1658265071.52217,"0aac432da11f3e6d5656eb7bfada1861","Some college","Democratic","Somewhat Liberal","No","TX","Yes","No",1658264587.82824
"106","Hispanic","Male",30,"$90,000 - $99,999","No","Slightly Comfortable",1658265071.52217,"0aac432da11f3e6d5656eb7bfada1861","Some college","Democratic","Somewhat Liberal","No","TX","Yes","No",1658265072.46161
"108","White","Male",21,"$10,000 - $19,999","No","Slightly Comfortable",1658265086.62794,"3e5cbed69173c3298611593ccc4cf01f","Some college","Democratic","Somewhat Liberal","Yes","GA","No","N/A",1658265115.56226
"109","White","Male",37,"$30,000 - $39,999","Yes","Moderately Comfortable",1658265101.51946,"3499c550f2799efc9361048586e8376f","High school graduate","No consistent preference","Middle of the Road","No","IA","No","No",1658265126.69014
"110","White","Male",32,"$40,000 - $49,999","No","Slightly Uncomfortable",1658265217.01349,"6e196d319f8bdb53c25b0c8c25fef212","4 year degree","Democratic","Very Liberal","Yes","CA","No","N/A",1658265232.93685
"111","White","Female",25,"$20,000 - $29,999","No","Neither Comfortable nor Uncomfortable",1658265249.67469,"6ebd2cc8c1b832fb5c820ebef935d42e","Professional degree","No consistent preference","Middle of the Road","No","GA","No","N/A",1658265268.29654
"112","White, Hispanic","Female",28,"$90,000 - $99,999","No","Slightly Uncomfortable",1658265305.12044,"16279268d5423713dfcc9d692157d912","4 year degree","Democratic","Very Liberal","No","DC","No","N/A",1658266159.59164
"113","Asian","Male",43,"$90,000 - $99,999","Yes","Extremely Comfortable",1658265320.56263,"6ec1b1c9266dcf252e5236d0bc404776","4 year degree","Republican","Somewhat Conservative","No","TX","Yes","No",1658265376.8599
"114","White, Hispanic","Female",28,"$90,000 - $99,999","No","Slightly Uncomfortable",1658266144.41363,"16279268d5423713dfcc9d692157d912","4 year degree","Democratic","Very Liberal","No","DC","No","N/A",1658266159.59164
"115","White","Female",22,"Less than $10,000","Yes","Extremely Comfortable",1658266265.0736,"6ef6ae60e5543a620ff3bd865755cb7e","4 year degree","Republican","Somewhat Conservative","No","PA","No","N/A",1658266289.93096
"116","White","Female",21,"More than $150,000","No","Extremely Uncomfortable",1658266266.39664,"8889a076c45548132dfb788945425f38","Some college","Democratic","Somewhat Liberal","No","MO","No","N/A",1658266284.02925
"117","White","Female",24,"$60,000 - $69,999","No","Extremely Uncomfortable",1658266342.57214,"5c0c3c4e6589cdeb71d64c5aa829ebea","4 year degree","Democratic","Very Liberal","No","TX","No","N/A",1658266372.53129
"118","Asian","Male",NA,"$100,000 - $149,999","No","Slightly Uncomfortable",1658266381.43996,"afa11007660b1c4569366e5ce840acfd","Some college","Democratic","Somewhat Conservative","No","MI","No","N/A",1658266415.083
"119","White","Female",24,"$80,000 - $89,999","No","Extremely Uncomfortable",1658266410.9673,"2d20250f085c82eed95b17a1825ca080","4 year degree","Democratic","Very Liberal","No","IN","No","N/A",1658266432.12771
"120","White","Female",39,"$100,000 - $149,999","No","Extremely Uncomfortable",1658266430.3937,"5cc2a916198a8079e1556a82f4ebeb1e","Professional degree","Democratic","Somewhat Liberal","No","PA","No","N/A",1658266462.13603
"121","White","Female",37,"$60,000 - $69,999","Yes","Slightly Uncomfortable",1658266441.69435,"04fdfea89aa26371678380a6702b3aea","4 year degree","No consistent preference","Middle of the Road","No","IA","No","N/A",1658266469.86441
"122","White","Female",48,"More than $150,000","No","Neither Comfortable nor Uncomfortable",1658266676.7387,"1e9ed5b625e61f104fe7c3453a8470c2","Professional degree","Democratic","Somewhat Liberal","No","CO","No","No",1658266700.79011
"123","White","Female",31,"$70,000 - $79,999","No","Slightly Uncomfortable",1658266739.80445,"4eee6112c1a688ece3f12fff487e105e","Professional degree","Democratic","Somewhat Liberal","No","CA","No","N/A",1658266757.75938
"124","White","Male",24,"$60,000 - $69,999","No","Extremely Uncomfortable",1658266882.99124,"45bc2cef2623be90af501c342fe09fd7","4 year degree","Democratic","Very Liberal","No","CA","No","N/A",1658266901.16214
"125","White","Male",25,"$90,000 - $99,999","No","Extremely Comfortable",1658269774.68637,"48e9fdd74931e927ca0af4791dc1ea79","4 year degree","Democratic","Somewhat Liberal","No","FL","Yes","Yes",1658269791.74198
"126","White","Female",39,"$60,000 - $69,999","No","Extremely Uncomfortable",1658320129.7991,"aa9533aa8f5098473e0afb8c49b06509","4 year degree","Democratic","Very Liberal","No","MD","No","N/A",1658320149.08843
"127","White","Male",33,"$50,000 - $59,999","No","Slightly Comfortable",1658321001.29739,"7807df15790725c0862111e726ac5874","2 year degree","Democratic","Very Liberal","No","NV","No","N/A",1658321524.88468
"128","White, American Indian or Alaska Native","Female",57,"$50,000 - $59,999","Yes","Extremely Comfortable",1658321144.25643,"7a2033d15fefe61ae35bd765c401303d","4 year degree","Democratic","Somewhat Liberal","No","ME","No","N/A",1658321173.72919
"129","White","Male",39,"$90,000 - $99,999","Yes","Slightly Comfortable",1658321193.50946,"5822caf020846720765020aa313cfd62","4 year degree","Democratic","Somewhat Liberal","Yes","MD","No","N/A",1658321312.23816
"130","White","Female",NA,"More than $150,000","No","Neither Comfortable nor Uncomfortable",1658321265.32464,"c61530964514909afc4e90c799f2caf8","4 year degree","No consistent preference","Middle of the Road","No","FL","No","N/A",1658321284.73813
"131","Asian","Male",21,"More than $150,000","No","Slightly Uncomfortable",1658321393.65438,"8f285a765da682ab2f140354cd2ee221","Some college","Democratic","Middle of the Road","No","MD","No","N/A",1658321411.05497
"132","White","Male",22,"$30,000 - $39,999","No","Neither Comfortable nor Uncomfortable",1658321551.74478,"630bd2fef3ca60ce9a0ddc246e5dedf6","Some college","Democratic","Somewhat Liberal","No","AZ","No","N/A",1658321583.41663
"133","White","Female",35,"$100,000 - $149,999","No","Extremely Uncomfortable",1658321707.45853,"8df406b3b6ee44f5cd82fd84c70f7c46","Doctorate","Democratic","Very Liberal","No","PA","No","N/A",1658321725.67734
