"","...1","guilty","strength","gunstrength","probability","gunprob","check1","firetestcred","algtestcred","overrel","examrel","algrel","examsci","oversci","algsci","expunder","algunder","mistakes","firerel","check2","firesci","unique","harm","time","scenario_number","algorithm","picture","conclusion","typos","clean_prints"
"11",11,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,3,"9mm","Moderately credible","Moderately credible","Moderately reliable","Weakly reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658255753.27444,12,"Yes","Yes","NoMatch","Uncorrected",550
"12",12,"No","3.0","4.0",35,40,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Moderately scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658258785.79596,11,"Yes","Yes","Inconclusive","Uncorrected",32
"13",13,"No","3.0","4.0",56,29,"9mm","Extremely credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Moderately scientific","Weakly scientific","4.0","4.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658258925.95404,8,"Yes","No","Inconclusive","Uncorrected",41
"14",14,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658259731.78382,12,"Yes","Yes","NoMatch","Uncorrected",246
"15",15,"Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",96,97,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658260127.13999,7,"Yes","No","Match","Uncorrected",170
"16",16,"Yes","8.0","9 <br/> Extremely strong",90,95,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260143.18661,10,"Yes","Yes","Match","Uncorrected",584
"17",17,"Yes","8.0","9 <br/> Extremely strong",95,90,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658260172.86089,7,"Yes","No","Match","Uncorrected",54
"18",18,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658260575.88466,9,"Yes","No","NoMatch","Uncorrected",87
"19",19,"No","4.0","4.0",38,40,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Neither reliable nor unreliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658260924.55288,11,"Yes","Yes","Inconclusive","Uncorrected",433
"20",20,"No","2.0","2.0",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658261436.45631,9,"Yes","No","NoMatch","Uncorrected",53
"21",21,"No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658261619.39255,12,"Yes","Yes","NoMatch","Uncorrected",501
"22",22,"No","4.0","8.0",50,86,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Weakly unreliable","Weakly scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658261744.08244,10,"Yes","Yes","Match","Uncorrected",498
"23",24,"No","2.0","2.0",30,50,"9mm","Moderately noncredible","Moderately credible","Moderately unreliable","Weakly unreliable","Moderately unreliable","Weakly unscientific","Neither scientific nor unscientific","Neither scientific nor unscientific","4.0","4.0","Occasionally","Weakly reliable","Moderately unreliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658262238.95566,8,"Yes","No","Inconclusive","Uncorrected",333
"24",25,"Yes","8.0","8.0",90,95,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658262409.42151,10,"Yes","Yes","Match","Uncorrected",588
"25",26,"No","4.0","2.0",30,20,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658263457.1286,12,"Yes","Yes","NoMatch","Uncorrected",379
"26",27,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,1,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264035.74079,9,"Yes","No","NoMatch","Uncorrected",204
"27",28,"No","3.0","2.0",20,10,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Moderately scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658264281.41495,9,"Yes","No","NoMatch","Uncorrected",28
"28",29,"No","2.0","3.0",36,28,"9mm","Moderately credible","Extremely credible","Moderately unreliable","Moderately reliable","Weakly reliable","Extremely scientific","Weakly unscientific","Moderately scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264334.18048,8,"Yes","No","Inconclusive","Uncorrected",249
"29",30,"No","5 <br/> Moderately strong","4.0",52,50,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Weakly unreliable","Moderately scientific","Moderately scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658264615.08505,12,"Yes","Yes","NoMatch","Uncorrected",538
"30",31,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",0,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658264633.9485,12,"Yes","Yes","NoMatch","Uncorrected",413
"31",32,"No","2.0","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Weakly scientific","Moderately scientific","Moderately scientific","4.0","4.0","Occasionally","Weakly reliable","Moderately reliable","Neither scientific nor unscientific","Yes","Erroneously convicting an innocent person",1658264668.35031,9,"Yes","No","NoMatch","Uncorrected",200
"32",33,"Yes","7.0","8.0",89,86,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658265028.44824,7,"Yes","No","Match","Uncorrected",244
"33",34,"No","1 <br/> Not at all strong","2.0",16,20,"9mm","Moderately credible","Moderately credible","Neither reliable nor unreliable","Moderately reliable","Neither reliable nor unreliable","Neither scientific nor unscientific","Moderately scientific","Neither scientific nor unscientific","3 <br/> I understood about half of the method","2.0","Sometimes","Weakly reliable","Moderately reliable","Weakly scientific","Yes","Erroneously convicting an innocent person",1658265047.05339,9,"Yes","No","NoMatch","Uncorrected",261
"34",35,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",1,0,"9mm","Extremely credible","Extremely credible","Moderately reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658265808.9964,9,"Yes","No","NoMatch","Uncorrected",578
"35",36,"No","8.0","9 <br/> Extremely strong",80,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658265861.36887,10,"Yes","Yes","Match","Uncorrected",412
"36",37,"No","1 <br/> Not at all strong","2.0",4,8,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658266134.20332,9,"Yes","No","NoMatch","Uncorrected",378
"37",38,"No","5 <br/> Moderately strong","5 <br/> Moderately strong",50,50,"9mm","Neither credible nor noncredible","Extremely credible","Neither reliable nor unreliable","Neither reliable nor unreliable","Weakly unreliable","Moderately scientific","Moderately scientific","Neither scientific nor unscientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Neither reliable nor unreliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266164.08376,8,"Yes","No","Inconclusive","Uncorrected",29
"38",39,"No","1 <br/> Not at all strong","2.0",8,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658266233.09879,9,"Yes","No","NoMatch","Uncorrected",149
"39",41,"Yes","7.0","7.0",75,70,"9mm","Extremely credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658266963.06773,7,"Yes","No","Match","Uncorrected",435
"40",42,"No","2.0","2.0",20,20,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658267226.09383,8,"Yes","No","Inconclusive","Uncorrected",116
"41",43,"No","3.0","2.0",30,30,"9mm","Moderately credible","Extremely credible","Extremely unreliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658267246.03155,8,"Yes","No","Inconclusive","Uncorrected",63
"42",44,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,3,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658267379.3967,9,"Yes","No","NoMatch","Uncorrected",86
"43",45,"No","1 <br/> Not at all strong","2.0",30,31,"9mm","Moderately credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658268211.54283,11,"Yes","Yes","Inconclusive","Uncorrected",216
"44",46,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,1,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658270078.15822,9,"Yes","No","NoMatch","Uncorrected",263
"45",47,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",2,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658321020.31833,12,"Yes","Yes","NoMatch","Uncorrected",419
"46",48,"No","4.0","4.0",43,47,"9mm","Weakly credible","Moderately credible","Weakly unreliable","Weakly unreliable","Moderately reliable","Moderately scientific","Weakly scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Weakly reliable","Moderately reliable","Weakly scientific","Yes","The errors are equally bad",1658322349.88703,8,"Yes","No","Inconclusive","Uncorrected",337
"47",49,"Yes","9 <br/> Extremely strong","8.0",97,99,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Weakly unscientific","Weakly scientific","Extremely scientific","4.0","4.0","Sometimes","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658322470.50701,8,"Yes","No","Inconclusive","Uncorrected",228
"48",50,"No","1 <br/> Not at all strong","4.0",30,30,"9mm","Weakly noncredible","Weakly noncredible","Neither reliable nor unreliable","Weakly reliable","Weakly reliable","Neither scientific nor unscientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Sometimes","Weakly unreliable","Moderately reliable","Weakly unscientific","Yes","Erroneously convicting an innocent person",1658322811.93384,12,"Yes","Yes","NoMatch","Uncorrected",310
"49",51,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658322964.48803,12,"Yes","Yes","NoMatch","Uncorrected",342
"50",52,"Yes","8.0","9 <br/> Extremely strong",90,96,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323190.47175,10,"Yes","Yes","Match","Uncorrected",60
"51",53,"No","3.0","1 <br/> Not at all strong",18,5,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","3 <br/> I understood about half of the method","Occasionally","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Failing to convict a guilty person",1658323291.44658,12,"Yes","Yes","NoMatch","Uncorrected",439
"52",55,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,15,"9mm","Moderately credible","Extremely credible","Moderately reliable","Moderately reliable","Extremely reliable","Extremely scientific","Moderately scientific","Moderately scientific","4.0","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658323875.95952,12,"Yes","Yes","NoMatch","Uncorrected",168
"53",56,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,5,"9mm","Extremely credible","Extremely credible","Moderately unreliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658323945.81042,12,"Yes","Yes","NoMatch","Uncorrected",302
"54",57,"Yes","9 <br/> Extremely strong","9 <br/> Extremely strong",100,100,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658324165.55114,12,"Yes","Yes","NoMatch","Uncorrected",368
"55",58,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",5,2,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325159.44298,12,"Yes","Yes","NoMatch","Uncorrected",484
"56",59,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",10,10,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325464.03602,12,"Yes","Yes","NoMatch","Uncorrected",22
"57",60,"No","2.0","2.0",20,12,"9mm","Moderately credible","Moderately credible","Weakly reliable","Moderately reliable","Weakly reliable","Moderately scientific","Weakly scientific","Weakly scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658325664.67415,11,"Yes","Yes","Inconclusive","Uncorrected",421
"58",61,"Yes","8.0","8.0",96,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658325693.49944,10,"Yes","Yes","Match","Uncorrected",502
"59",62,"No","5 <br/> Moderately strong","7.0",57,70,"9mm","Moderately credible","Extremely credible","Moderately reliable","Neither reliable nor unreliable","Moderately unreliable","Neither scientific nor unscientific","Extremely scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658326503.95546,10,"Yes","Yes","Match","Uncorrected",194
"60",63,"No","2.0","3.0",14,13,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Weakly scientific","Moderately scientific","5 <br/> I understood everything","5 <br/> I understood everything","Occasionally","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658326577.44292,11,"Yes","Yes","Inconclusive","Uncorrected",92
"61",64,"No","4.0","5 <br/> Moderately strong",38,50,"9mm","Extremely credible","Extremely credible","Neither reliable nor unreliable","Moderately reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","5 <br/> I understood everything","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658326835.19371,8,"Yes","No","Inconclusive","Uncorrected",199
"62",65,"No","4.0","5 <br/> Moderately strong",60,60,"9mm","Extremely credible","Moderately credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658327273.83872,7,"Yes","No","Match","Uncorrected",6
"63",66,"No","3.0","4.0",30,40,"9mm","Moderately credible","Moderately credible","Weakly reliable","Weakly reliable","Weakly reliable","Weakly scientific","Weakly scientific","Weakly scientific","4.0","3 <br/> I understood about half of the method","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658327454.83616,7,"Yes","No","Match","Uncorrected",467
"64",67,"Yes","8.0","9 <br/> Extremely strong",97,100,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658327476.43127,10,"Yes","Yes","Match","Uncorrected",557
"65",68,"Yes","8.0","8.0",95,97,"9mm","Moderately credible","Extremely credible","Extremely reliable","Moderately reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","2.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658327515.28971,7,"Yes","No","Match","Uncorrected",80
"66",69,"No","4.0","4.0",50,50,"9mm","Extremely credible","Extremely credible","Weakly reliable","Weakly reliable","Moderately reliable","Moderately scientific","Moderately scientific","Moderately scientific","4.0","4.0","Rarely","Moderately reliable","Moderately reliable","Moderately scientific","Yes","The errors are equally bad",1658328838.20492,11,"Yes","Yes","Inconclusive","Uncorrected",61
"67",70,"No","5 <br/> Moderately strong","7.0",85,96,"9mm","Moderately credible","Extremely credible","Moderately reliable","Weakly reliable","Moderately reliable","Extremely scientific","Moderately scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Moderately reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658329228.64211,7,"Yes","No","Match","Uncorrected",243
"68",71,"No","1 <br/> Not at all strong","1 <br/> Not at all strong",3,3,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Extremely scientific","Extremely scientific","Extremely scientific","4.0","4.0","Sometimes","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658329263.76036,8,"Yes","No","Inconclusive","Uncorrected",284
"69",72,"Yes","8.0","8.0",98,98,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Extremely reliable","Extremely scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","Erroneously convicting an innocent person",1658329588.39529,10,"Yes","Yes","Match","Uncorrected",255
"70",73,"No","2.0","1 <br/> Not at all strong",10,10,"9mm","Extremely credible","Extremely credible","Moderately reliable","Moderately reliable","Moderately reliable","Moderately scientific","Extremely scientific","Extremely scientific","5 <br/> I understood everything","4.0","Occasionally","Moderately reliable","Moderately reliable","Moderately scientific","Yes","Erroneously convicting an innocent person",1658329844.55327,12,"Yes","Yes","NoMatch","Uncorrected",355
"71",74,"Yes","7.0","9 <br/> Extremely strong",90,90,"9mm","Extremely credible","Extremely credible","Extremely reliable","Extremely reliable","Moderately reliable","Moderately scientific","Extremely scientific","Moderately scientific","3 <br/> I understood about half of the method","3 <br/> I understood about half of the method","Rarely","Extremely reliable","Moderately reliable","Extremely scientific","Yes","The errors are equally bad",1658329944.68767,7,"Yes","No","Match","Uncorrected",592
